" The customer does not exist in the system anymore.","Stranka ne obstaja več v sistemu"
" You will need to navigate to your "," Morali boste preusmeriti na vašo "
" [deleted]","[odstranjen]"
" and ","in"
" and go to the "," in pojdite na "
" sections for your Hosted Checkout Pages."," sekcija za vaše gostovane nakupne strani."
"%s (Default Template from Locale)","%s (Privzeta predloga iz jezika)"
"%s cache type(s) disabled.","%s tip predpomnilnika(ov) onemogočen."
"%s cache type(s) enabled.","%s tip predpomnilnika(ov) omogočen."
"%s cache type(s) refreshed.","%s tip predpomnilnika(ov) osvežen."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutna ali relativna pot do Magento namestitvenega direktorija, npr. var/export)"
"(For US 2-letter state names)","(Za ZDA dvočrkovna oznaka zvezne države)"
"(If left empty will be auto-generated)","(Če pustite prazno, bo samodejno generirano)"
"(Leave empty for first spreadsheet)","(Pustite prazno za prvo preglednico)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Izdelki bodo dodani/posodobljeni za to trgovino, če bo stolpec 'trgovina' prazen ali bo manjkal v uvoženi datoteki.)"
"(Shift-)Click or drag to change value","(Shift-)Klikni ali povleci za menjavo vrednosti"
"(Starting with)","(Začenši z)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ko je 'Ne', bodo uvožena samo preslikana polja. Ko preslikavate uporabite ' stolpec1 ', 'stolpec2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Pred menjavo te vrednosti morate povečati php memory_limit)"
"(\\t for tab)","(\\t za zavihek)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Tekoče indeksiranje bo ustavljeno in začelo se bo novo indeksiranje."
"Nap:509","=-Za povečavo časa klikni na katerikoli del časa"
"Nap:509","=- Miškin gumb drži na kateremkoli od gornjih gumbov Za hitrejšo izbiro."
"- Use the %s buttons to select month","- Uporabi %s gumbe za izbiro meseca"
"- Use the %s, %s buttons to select year","- Uporabi %s, %s gumbe za izbiro leta"
"Nap:509","=-ali dvigni - klikni Za zmanjšanje"
"Nap:509","=- ali klikni in povleci Za hitri izbor."
"-- Not Selected --","-- Ni izbrano --"
"-- Please Select --","-- Prosimo izberite --"
"-- Please Select Billing Agreement--","-- Prosimo izberite pogodbo o plačevanju --"
"-- Please Select a Category --","-- Prosimo izberite kategorijo --"
"-- Please select --","-- Prosimo izberite --"
"--Please Select--","-- Prosimo izberite --"
"1 Hour","1 Ura"
"12 Hours","12 Ur"
"12h AM/PM","12h dopoldne/popoldne"
"2 Hours","2 Uri"
"24 Hours","24 Ur"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 Ur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 napaka</h1><p>Stran ni najdena.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Na vaš E-poštni naslov je bilo poslano novo geslo. Preverite E-pošto in kliknite Nazaj na prijavo."
"A user with the same user name or email aleady exists.","Uporabnik z enakim uporabniškim imenom ali E-pošto že obstaja."
"API Key","API ključ"
"API Key Confirmation","Potrditev API ključa"
"Abandoned Carts","Zapuščene košarice"
"About the calendar","O koledarju"
"Access Denied","Dostop zavrnjen"
"Access denied","Dostop zavrnjen"
"Access denied.","Dostop zavrnjen."
"Account Created in:","Račun ustvarjen v:"
"Account Created on (%s):","Račun ustvarjen (%s):"
"Account Created on:","Račun ustvarjen:"
"Account Information","Podatki o računu"
"Account Status","Stanje računa"
"Account status","Stanje računa"
"Action","Aktivnost"
"Actions","Aktivnosti"
"Actions XML","Aktivnosti XML"
"Active","Aktivno"
"Add","Dodaj"
"Add Contents Path","Dodaj vsebino"
"Add Exception","Dodaj izjemo"
"Add Field Mapping","Dodaj preslikavo polj"
"Add Field with URL:","Dodaj polje z URL:"
"Add New Image","Dodaj novo sliko"
"Add New Profile","Dodaj nov profil"
"Add New Role","Dodaj novo vlogo"
"Add New Template","Dodaj novo predlogo"
"Add New URL Rewrite","Dodaj novo URL pravilo"
"Add New User","Dodaj novega uporabnika"
"Add New Variable","Dodaj novo spremenljivko"
"Add New osCommerce Profile","Dodaj nov osCommerce profil"
"Add PHP Extension dependency","Dodaj odvisnost PHP razširitve"
"Add Package dependency","Dodaj odvisnost paketa"
"Add URL Rewrite","Dodaj URL pravilo"
"Add URL Rewrite for a Category","Dodaj URL pravilo za kategorijo"
"Add URL Rewrite for a Product","Dodaj URL pravilo za izdelek"
"Add after","Dodaj po"
"Additional Cache Management","Dodatno upravljanje s predpomnilnikom"
"Address Type:","Tip naslova:"
"Admin","Administrator"
"Advanced Admin Section","Napredni administratorjev oddelek"
"Advanced Profiles","Napredni profili"
"Advanced Section","Napredni oddelki"
"All","Vse"
"All Allowed Countries","Vse dovoljene države"
"All Cache","Celoten predpomnilnik"
"All Files","Vse datoteke"
"All Reviews","Vse ocene"
"All Store Views","Vsi pogledi trgovine"
"All Tags","Vse oznake"
"All Websites","Vse spletne strani"
"All countries","Vse države"
"All fields","Vsa polja"
"All possible rates were fetched, please click on ""Save"" to apply","Vse možne stopnje so bile pridobljene, kliknite "" Shrani"" za uporabo."
"All rates were fetched, please click on ""Save"" to apply","Vse stopnje so bile pridobljene, kliknite "" Shrani"" za uporabo."
"All valid rates have been saved.","Vse veljavne stopnje so bile shranjene."
"Amounts","Zneski"
"An error occurred while clearing the JavaScript/CSS cache.","Prišlo je do napake med čiščenjem JavaScript/CSS predpomnilnika."
"An error occurred while clearing the image cache.","Prišlo je do napake med čiščenjem slike predpomnilnika."
"An error occurred while creating the backup.","Prišlo je do napake med izdelavo varnostne kopije."
"An error occurred while deleting email template data. Please review log and try again.","Prišlo je do napake med brisanjem podatkov E-poštne predloge. Prosimo preverite dnevnik in poskusite znova."
"An error occurred while deleting this role.","Prišlo je do napake med brisanjem vloge"
"An error occurred while deleting this set.","Prišlo je do napake med brisanjem tega niza."
"An error occurred while deleting this template.","Prišlo je do napake med brisanjem predloge."
"An error occurred while finishing process. Please refresh the cache","Prišlo je do napake med dokončevanjem postopka. Prosimo osvežite predpomnilnik."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Prišlo je do napake med ponovnim grajenjem stanja zaloge kataloga."
"An error occurred while rebuilding the catalog index.","Prišlo je do napake med ponastavlanjem kazala kataloga."
"An error occurred while rebuilding the flat catalog category.","Prišlo je do napake med ponastavljanjem nepovezanih kategorij kataloga."
"An error occurred while rebuilding the flat product catalog.","Prišlo je do napake med ponastavljanjem nepovezanih kategorij izdelkov."
"An error occurred while rebuilding the search index.","Prišlo je do napake med ponastavljanjem kazala iskanj."
"An error occurred while refreshing the Catalog Rewrites.","Prišlo je do napake med osveževanjem pravil kataloga."
"An error occurred while refreshing the Layered Navigation indices.","Prišlo je do napake med osveževanjem indikatorjev večplastne navigacije."
"An error occurred while refreshing the catalog rewrites.","Prišlo je do napake med osveževanjem pravil kataloga."
"An error occurred while refreshing the layered navigation indices.","Prišlo je do napake med osveževanjem indikatorjev večplastne navigacije."
"An error occurred while saving account.","Prišlo je do napake med shranjevanjem računa."
"An error occurred while saving the customer.","Prišlo je do napake med shranjevanjem stranke."
"An error occurred while saving this configuration:","Prišlo je do napake med shranjevanjem te konfiguracije:"
"An error occurred while saving this role.","Prišlo je do napake med shranjevanjem te vloge."
"An error occurred while saving this template.","Prišlo je do napake med shranjevanjem te predloge."
