" and ","in"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutna ali relativna pot do Magento namestitvenega direktorija , npr varianta/izvoz)"
"(For US 2-letter state names)","(Za ZDA dvočrkovna oznaka imena zvezne države)"
"(If left empty will be auto-generated)","(Če pustite prazno, bo samodejno generirano)"
"(Leave empty for first spreadsheet)","(Pustite prazno za prvo preglednico)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","( Izdelki bodo dodani/posodobljeni, če bo stoplec 'trgovina' prazen ali bo manjkal v uvozni datoteki.)"
"(Shift-)Click or drag to change value","(Shift-)Klikni in povleci za menjavo valute"
"(Starting with)","(Začenši z)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ko je 'Ne', bodo uvožena le preslikana polja. Pri preslikavi uporabi 'stoplec1', 'stolpec2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Pred spremembo te vrednosti morate povečati php memory_limit)"
"(\\t for tab)","(\\t za zavihek)"
"=- Click on any of the time parts to increase it","=- Klikni na katerikoli del časa za povečavo"
"=- Hold mouse button on any of the above buttons for faster selection.","=-Zadržite klik na kateremkoli od zgornjih gumbov za hiter izbor."
"- Use the %s buttons to select month","- Uporabite %s gumbe za izbiro meseca"
"- Use the %s, %s buttons to select year","- Uporabite %s, %s gumbe za izbiro leta"
"=- or Shift-Click to decrease it","=- ali Shift-Klikni za zmanjšanje"
"=- or Click and drag for faster selection.","=- ali Klikni in povleci za hitrejši izbor."
"-- Please Select Billing Agreement--","--Prosimo izberite pogodbo o plačevanju--"
"About the calendar","O koledarju"
"Access denied.","Dostop zavrnjen."
"Account Created in:","Račun ustvarjen:"
"Account Created on (%s):","Račun ustvarjen dne(%s):"
"Account Created on:","Račun ustvarjen dne:"
"Action","Aktivnost"
"Actions","Aktivnosti"
"Add Contents Path","Dodaj vsebino poti"
"Add Field with URL:","Dodaj polje z URL:"
"Add New Role","Dodaj novo vlogo"
"Add New User","Dodaj novega uporabnika"
"Add PHP Extension dependency","Dodaj odvisnost PHP razširitve"
"Add Package dependency","Dodaj odvisnost paketa"
"Address Type:","Tip naslova:"
"All","Vse"
"All Websites","vse spletne strani"
"All fields","vsa polja"
"Archive file name:","Arhivsko ime datoteke:"
"Are you sure that you want to delete this template?","Ali ste prepruičani, da želite zbrisati to predlogo?"
"Are you sure that you want to strip tags?","Ali ste prepričani, da želite skrajšati oznako?"
"Attribute Set Name:","Ime skupine atributa:"
"Attributes","Atributi"
"Authors","Avtorji"
"Available Products","Izdelki na voljo"
"Big Image","Velika slika"
"Billing Address","Naslov za plačevanje"
"Billing Agreement","Pogodba o plačevanju"
"Bundle Items","Povezani izdelki"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Komplet z dinamično oblikovanimi cenami ne more vključevati opredeljenih možnosti po meri. Možnosti ne bodo shranjene."
"CSV / Tab separated","CSV / Tab ločevanje"
"Card Verification Number","Številka potrjevanja kartice"
"Catalog","Katalog"
"Channel","Kanal"
"Child Transactions","Podrejene transakcije"
"Choose Store View","Izberi pogled trgovine"
"Clear","Počisti"
"Client Session Timeout (sec.)","Časovna omejitev seje odjemalca (sek.)"
"Close","Zapri"
"Comments History","Zgodovina komentarjev"
"Confirmed email:","Potrjena E-pošta:"
"Connect with the Magento Community","Povezava z Magento skupnostjo"
"Contents","Vsebina"
"Country:","Država:"
"Created At","Ustvarjeno:"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Number: xxxx-%s","Številka kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Credit Memo History","Zgodovina dobropisov"
"Credit Memo Totals","Celoten seštevek dobropisov"
"Current Configuration Scope:","Trenutno področje nastavitev:"
"Custom","Po meri"
"Customer","Stranka"
"Customer Group:","Skupina strank:"
"Customer Since:","Stranka od:"
"Customers","Stranke"
"DHTML Date/Time Selector","DHTML Datum/izbira časa"
"Dashboard","Nadzorna plošča"
"Data Format","Oblika podatkov"
"Data transfer:","Prenos podatkov:"
"Date selection:","Izbira datuma:"
"Date selector","Izbira datuma"
"Decimal separator:","Decimalno ločilo:"
"Default (Admin) Values","Privzete (administratorjeve) vrednosti"
"Default Billing Address","Privzet naslov za plačevanje"
"Default Response Charset","Privzet nabor znakov za odgovor"
"Default Values","Privzete vrednosti"
"Delete","Odstrani"
"Direction:","Smer:"
"Display %s first","Najprej prikaži %s"
"Distributed under GNU LGPL. See %s for details.","Distribuirano po GNU LGPL. Glej %s detajle."
"Drag to move","Povleci za premik"
"Edit Role","Uredi vlogo"
"Edit User '%s'","Uredi uporabnika '%s'"
"Email","E-pošta"
"Email Preview","Predlogled E-pošte"
"Email:","E-pošta:"
"Enclose Values In:","Priloži vrednosti v:"
"Entity type:","Tip objekta"
"Excl. Tax","Brez DDV"
"Expiration Date","Datum poteka"
"Expiration Date: %s/%s","Datum poteka: %s/%s"
"Export","Izvoz"
"Export Filters","Izvozni filtri"
"Export to:","Izvozi v:"
"Export:","Izvoz:"
"Extension","Končninca"
"Extensions","Končnice"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Preslikava polj"
"File Information","Podatki o datoteki"
"File name:","Ime datoteke:"
"Files","Datoteke"
"Final Price","Končna cena"
"Finished profile execution.","Izvedba profila končana"
"First Name:","Ime:"
"For latest version visit: %s","Za zadnjo verzijo obiščite: %s"
"From","Od"
"General Information","Splošni podatki"
"General Settings","Splošne nastavitve"
