"--Please Select--","--Prosimo izberite--"
"API Login ID","API prijava ID"
"Accepted Currency","Sprejeta valuta"
"Authorize.net Direct Post","Authorize.net direkten naslov"
"Card Verification Number","Številka kreditne kartice za verifikacijo"
"Card Verification Number Visual Reference","Številka kreditne kartice za verifikacijo z vidno referenco"
"Close","Zapri"
"Credit Card Information","Podatki o kreditni kartici"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Types","Tipi kreditne kartice"
"Credit Card Verification","Preverjanje kreditne kartice"
"Debug","Odkrivanje in odpravljanje napak"
"Email Customer","E-naslov kupca"
"Enabled","Omogočeno"
"Expiration Date","Datum poteka"
"Gateway URL","URL prehoda (gateway)"
"Maximum Order Total","Max. skupno naročilo"
"Merchant MD5","MD5 trgovca"
"Merchant's Email","E-naslov trgovca"
"Minimum Order Total","Min. skupnega naročila"
"New Order Status","Status novega naročila"
"Order saving error: %s","Napaka naročila: %s"
"Payment Action","Plačilo v teku"
"Payment authorization error.","Napaka pri avtorizaciji plačila."
"Payment authorization error. Transacion id is empty.","Napaka pri avtorizaciji plačila. ID transakcije je prazen."
"Payment error. Order was not found.","Napaka pri plačilu. Ne najdem naročila."
"Payment error. Paid amount doesn\'t match the order amount.","Napaka pri naročilu. Znesek plačila se ne ujema z zneskom naročila."
"Payment from Applicable Countries","Plačilo iz dovoljene države"
"Payment from Specific Countries","Plačilo iz posameznih držav"
"Please, choose payment method","Prosimo izberite način plačila"
"Response hash validation failed. Transaction declined.","Odziv na validacijo ni uspel. Transakcija je zavrnjena."
"Sort Order","Vrstni red"
"Test Mode","Testni način"
"The order has been created.","Naročilo je bilo kreirano."
"There was an error processing your order. Please contact us or try again later.","Pri oddaji naročila je prišlo do napake. Prosimo da nas kontaktirate oz. ponovno poskusite z oddajo naročila."
"Title","Naziv"
"Transaction Key","Ključ transkacije"
"What is this?","Kaj je to?"
"You will be required to enter your payment details before you place an order.","Pred oddajo naročila boste morali vpisati podatke o plačilu."
