"* Required Fields","* Obvezna polja"
"-- Select --","-- Izberite --"
"Add New Option","Dodaj novo možnost"
"Add Selection","Dodaj izbor"
"As Low as","Tako nizko kot"
"As low as","Tako nizko kot"
"Bundle Items","Povezani izdelki"
"Bundle Product","Povezani izdelki"
"Buy %1$s with %2$s discount each","Kupi %1$s s %2$s popustom pri vsakem"
"Catalog Product View (Bundle)","Katalog povezanih izdelkov "
"Checkbox","Potrditveno polje"
"Choose a selection...","Izberi …"
"Close","Zapri"
"Default","Privzeto"
"Default Qty","Privzeta količina"
"Default Title","Privzet naslov"
"Drop-down","Padajoči seznam"
"Dynamic","Dinamični"
"Excl. Tax","Brez DDV"
"Fixed","Fiksen"
"From",""Od
"From:","Od:"
"Gift Message","Sporočilo o darilu"
"Incl. Tax","z DDV"
"Input Type","Tip vnosa"
"Is Required","Obvezno"
"Message:","Sporočilo:"
"Multiple Select","Večkratna izbira"
"N/A","N/A"
"No options of this product are available.","Za ta izdelek ni na voljo nobena možnost."
"None","Noben"
"Percent","Odstotek"
"Percent Discount","Odstotek popusta"
"Please Select Products to Add","Prosimo, izberite izdelke za dodajanje"
"Please enter search conditions to view products.","Prosimo, vnesite iskalne pogoje za prikaz izdelka."
"Please select options for product.","Prosimo, izberite možnosti za izdelek."
"Please specify product option(s).","Prosimo, določite izdelku možnosti"
"Position","Položaj"
"Price Range","Cenovni razpon"
"Price Type","Tip cene"
"Price as configured","Cena kot nastavljena"
"Qty:","Količina:"
"Radio Buttons","Radio gumbi "
"Required options are not selected.","Zahtevane možnosti niso izbrane"
"Selected required options are not available.","Izbrane zahtevane možnosti niso dostopne"
"Separately","Ločeno"
"Ship Bundle Items","Pošlji povezane izdelke"
"Shipment","Pošiljka"
"Store View Title","Naslov trgovine"
"There is no defined renderer for ""%s"" option type.","Upodabljanje za ""%s"" tip opcije ni določeno."
"This product is also part of bundle(s)","Ta izdelek prav tako spada med povezane izdelke"
"To","Do"
"To:","Do:"
"Together","Skupaj"
"Use Default Value","Uporabi privzeto vrednost"
"User Defined Qty","Količino določi uporabnik"
