"# of Use","# uporabe"
"%1$s incl tax.","%1$s z DDV"
"%s - %s","%s - %s"
"%s Item(s)","Izdelkov: %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiranje podatkov iz: %s)"
"(Will make search for the query above return results for this search.)","(Bo iskalo po zgornji poizvedbi in vrnilo rezultate za to iskanje.)"
"* Required Fields","* Obvezna polja"
"-- Please Select --","-- Prosimo izberite --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Privzeto 86400, če ni drugače določeno. Če želite osvežiti takoj, takoj počistite HTML bloke izhodnega predpomnilnika."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Opozorilo!</strong> Privzeta uporaba MAP bo skrila vse cene produktov na spletni strani (frontend)."
"A group with the same name already exists.","Skupina z enakim imenom že obstaja."
"A name is required","Ime je zahtevano"
"A product type is not defined for the indexer.","Ni določen tip izdelka za kazalo."
"ALL GROUPS","VSE SKUPINE"
"AM","AM"
"Action","Aktivnost"
"Actual Price","Dejanska cena"
"Add","Dodaj"
"Add Attribute","Dodaj atribut"
"Add Design Change","Dodaj spremembo oblikovanja"
"Add Group","Dodaj skupino"
"Add New","Dodaj novo"
"Add New Attribute","Dodaj nov atribut"
"Add New Attribute Set","Dodaj novo skupino atributa"
"Add New Group","Dodaj novo skupino"
"Add New Images","Dodaj novo sliko"
"Add New Option","Dodaj novo možnost"
"Add New Row","Dodaj novo vrstico"
"Add New Search Term","Dodaj nov iskalni niz"
"Add New Set","Dodaj novo skupino"
"Add Product","Dodaj izdelek"
"Add Product To Websites","Dodaj izdelek na spletno stran"
"Add Root Category","Dodaj korensko kategorijo"
"Add Subcategory","Dodaj podkategorijo"
"Add Tax","Dodaj davek"
"Add Tier","Dodaj nivo"
"Add attribute into attribute set","Dodaj atribut v nastavitve"
"Add group into attribute set","Dodaj skupino v nastavitve atributa"
"Add new custom option into product","Dodaj novo možnost po meri v produkt"
"Add new values into custom option","Dodaj novo vrednost v možnosti po meri"
"Add option","Dodaj možnost"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na seznam želja"
"Additional Information","Dodatne informacije"
"Alert Urls","URLji za opozorilo"
"All","Vse"
"All Product Types","Vsi tipi izdelkov"
"All Websites","Vse spletne strani"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Vsi izdelki iz te nastavitve bodo odstranjeni! Ali ste prepričani, da želite odstraniti to skupino atributov?"
"Allow All Products per Page","Dovoli vse izdelke na stran"
"Allow Dynamic Media URLs in Products and Categories","Dovoli dinamični URL v izdelkih in kategorijah"
"Allow HTML Tags on Frontend","Dovoli HTML oznake na uporabnikovi strani"
"Allowed File Extensions","Dovoljene končnice datotek"
"Allowed file extensions to upload","Dovoljene končnice datotek za nalaganje"
"An error occurred while adding customers for the %s alert. Message: %s","Prišlo je do napake med dodajanjem strank za %s opozorila. Spročilo: %s"
"An error occurred while adding products to websites.","Prišlo je do napake med dodajanjem izdelkov na spletno stran."
"An error occurred while clearing comparison list.","Prišlo je do napake med čiščenjem primerjalnih seznamov."
"An error occurred while deleting this review.","Prišlo je do napake med brisanjem komentarja."
"An error occurred while removing products from websites.","Prišlo je do napake pri odstranjevnaju izdelkov s spletne strani."
"An error occurred while saving the URL rewrite.","Prišlo je do napake med shranjevanjem URL pravil"
"An error occurred while saving the attribute set.","Prišlo je do napake med shranjevanjem skupine atributov."
"An error occurred while saving the collection, aborting. Error message: %s","Prišlo je do napake med shranjevanjem zbirke, prekinjam. Sporočilo napake:%s"
"An error occurred while saving the product. ","Prišlo je do napake med shranjevanjem izdelka."
"An error occurred while saving the search query.","Prišlo je do napake med shranjevanjem poizvedbe."
"An error occurred while saving this group.","Prišlo je do napake med shranjevanjem te skupine."
"An error occurred while trying to delete the category.","Prišlo je do napakem med poskusom odstranjevanja kategorije."
"An error occurred while updating the product(s) attributes.","Prišlo je do napake med posodabljanjem atrbibutov izdelka(ov)."
"An error occurred while updating the product(s) status.","Prišlo je do napake med posodabljanjem stanja izdelkov."
"An invalid group ID is specified, skipping the record.","Neveljavna ID skupina je specificirana, zapis je preskočen."
"An invalid option ID is specified for %s (%s), skipping the record.","Neveljavna izbira ID je določena za  %s (%s), preskoči zapis."
"An invalid store was specified.","Določena je neveljavna trgovina."
"Anchor Custom Text","Zasidraj besedilo po meri"
"Anchor Custom Title","Zasidraj naslov po meri"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Velja samo za izdelke v katalogu in kategorije. Kakršnakoli medijska vsebina bo vstavljena v urejevalnik kot statičen URL. Ne bo posodobljeno, če se konfiguracija osnovnega URL sistema spremeni."
"Apply MAP (Default Value)","Dovoli MAP (Privzeta vrednost)"
"Apply To","Dovoljeno za"
"Approved","Odobreno"
"Are you sure you want to delete this category?","Ali ste prepričani, da želite odstaniti to kategorijo?"
"Are you sure you would like to remove all products from your comparison?","Ali ste prepričani, da želite odstaniti vse izdelke iz vaše primerjave?"
"Are you sure you would like to remove this item from the compare products?","Ali ste prepričani, da želite odstaniti izdelek iz primerjave izdelkov ?"
"Are you sure?","Ali ste prepričani?"
"As low as:","Tako nizko kot:"
"Assign","Določi"
"Assign product link","Določi provezavo izdelka"
"Assign product to category","določi izdelek v kategorijo"
"Assigned Products","Določeni izdelki"
"Associated Products","Povezani izdelki"
"Attrib. Set Name","Ime nastavitve atributov"
"Attribute ""%s"" is invalid.","Atribut ""%s"" je neveljeven."
"Attribute ""%s"" is required.","Atribut ""%s"" je zahtevan."
"Attribute Information","Podatki o atributu"
"Attribute Model","Model atributa"
"Attribute Name:","Ime atributa:"
"Attribute Set","Nastavitev atributa."
"Attribute Sets","Nastavitve atributov"
"Attribute add","Dodajanje atributov"
"Attribute group with the \/name/\"" name already exists""","Skupina atributov z \/ime/\"" ime že obstaja"""
"Attribute remove","Odstrani atribut"
"Attribute with the same code already exists","Atribut z enako kodo že obstaja"
"Attributes","Atributi"
"Attrribute names can be specified per store.","Imena atrbibutov so lahko določena po trgovini"
"Autogenerate","Samodejno generiranje"
"Availability:","Na voljo:"
"Back","Nazaj"
"Backend Model","Model nadzornikove strani"
"Backend Table","Tabela nadzornikove strani"
"Backend Table Title","Naslov tabele nadzornikove strani"
"Backorders","Naknadne dostave"
"Based On","Na podlagi"
"Before Order Confirmation","Pred potrditvijo naročila"
"Best Value","Najboljša vrednost"
"Block after Info Column","Blok po info stolpcu"
"Bottom Block Options Wrapper","Spodnje možnosti blokiranja oboda"
"Bottom/Left","Najboljša vrednost"
"Bottom/Right","Spodaj/desno"
"Browse By","Išči po"
"Bundle Items","Izdelki v paketu"
"Buy %1$s","Kupi %1$s"
"Buy %1$s for","Kupi %1$s za"
"Buy %1$s for %2$s","Kupi %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kupi %1$s za %2$s (%3$s z DDV)vsak"
"Buy %1$s for %2$s each","Kupi %1$s za %2$s vsak"
"Cache Lifetime (Seconds)","Ohrani predpomnilnik (sekunde)"
"Cache refresh needed.","Potrebna je osvežitev predpomnilnika"
"Can be used only with catalog input type Dropdown","Uporabljeno je lahko samo z vnosom spustnega tipa kataloga"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Uporabljeno je lahko samo z vnosom spustnega tipa kataloga, večkratnim izborom in ceno"
"Can\'t create image.","Slike ni mogoče ustvariti"
