"%s was added to your shopping cart.","Izdelek %s je dodan vaši nakupovalni košarici"
"%s was updated in your shopping cart.","%s je bil posodobljen v vaši nakupovalni košarici."
"* Required Fields","* Obvezna polja"
"Add New Address","Dodaj nov naslov"
"Add New Condition","Dodaj nov pogoj"
"Add coupon code for shopping cart","Dodaj kodo kupona za nakupovalno košarico"
"Add gift messages to shopping cart","Dodaj sporočilo o darilu na nakupovalno košarico"
"Add product to shopping cart","Dodaj produkt v nakupovalno košarico"
"Add product(s) to shopping cart","Dodaj produkt (e) v nakupovalno košarico"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj za primerjavo"
"Add to Wishlist","Dodaj v seznam želja"
"Additional Product Info","Dodatni podatki o izdelku"
"Address","Naslov"
"Address %s of %s","Naslov %s od %s"
"After Adding a Product Redirect to Shopping Cart","Po dodajanju izdelka preusmeri v nakupovalno košarico"
"Allow Guest Checkout","Gostu dovoli oddati naročilo"
"Already registered?","Ste že registrirani?"
"An error occurred in the process of payment","Prišlo je do napake pri postopku plačila"
"An error occurred while deleting this condition.","Prišlo je do napake med odstranjevanjem tega pogoja"
"An error occurred while saving this condition.","Prišlo je do napake med shranjevanjem tega pogoja"
"Apply Coupon","Uporabi kupon"
"Are you sure you would like to remove this item from the shopping cart?","Ali ste prepričani, da želite odstraniti ta izdelek iz nakupovalnega vozička?"
"Back","Nazaj"
"Back to Billing Information","Nazaj na podatke o plačevanju"
"Back to Select Addresses","Nazaj na izbrane naslove"
"Back to Shipping Information","Nazaj na podatke o dostavi"
"Back to Shopping Cart","Nazaj na nakupovalno košarico"
"Based on your selection, you may be interested in the following items:","Glede na vašo izbiro bi vas morda zanimali naslednji izdelki:"
"Billing Address","Naslov za plačevanje"
"Billing Information","Podatki za plačevanje"
"Billing Information - %s","Podatki za plačevanje - %s"
"Cancel Coupon","Prekliči kupon"
"Cannot add item to the shopping cart.","Izdelka ne morem dodati v nakupovalno košarico."
"Cannot add the item to shopping cart","Izdelka ne morem dodati v nakupovalno košarico."
"Cannot add the item to shopping cart.","Izdelka ne morem dodati v nakupovalno košarico."
"Cannot apply the coupon code.","Kode za kupon ne morem uporabiti."
"Cannot configure product.","Ni možno nastaviti produkta."
"Cannot open the overview page","Strani za pregled ne morem odpreti"
"Cannot process the item.","Ne morem obdelati elementa."
"Cannot remove the item.","Izdelka ne morem odstraniti"
"Cannot update shopping cart.","Nakupovalne košarice ne morem posodobiti."
"Cannot update the item.","Ne morem posodobiti izdelka."
"Card Verification Number Visual Reference","Vizualna referenca številke za preverjanje kartice"
"Cart Api","API košarice"
"Cart Subtotal:","Vmesni seštevek košarice:"
"Change","Zamenjaj"
"Change Billing Address","Zamenjaj nslov za plačevanje"
"Checkbox Text","Besedilo potrditvenega polja"
"Checkout","Zaključek nakupa"
"Checkout Conditions","Pogoji zaključka nakupa"
"Checkout Method","Načini zaključka nakupa"
"Checkout Options","Možnosti zaključka nakupa"
"Checkout Progress Wrapper","Skupek prikaza napredka zaključka nakupa"
"Checkout Section","Oddelek za zaključek nakupa"
"Checkout Terms and Conditions","Pogoji in pravila zaključka nakupa"
"Checkout as Guest","Zaključi nakup kot gost"
"Checkout as a Guest or Register","Zaključi nakup kot gost ali se registriraj"
"Checkout with Multiple Addresses","Zaključek nakupa z več naslovi"
"City","Mesto"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Kliknite <a href=""%s"" onclick=""this.target=\'_blank\'""> tukaj za tiskanje </a> vašega potrdila o naročilu."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">tukaj</a> za nadaljevanje nakupa."
"Close","Zapri"
"Company","Podjetje"
"Condition Name","Ime pogoja"
"Configurable Product Image","Konfiguriraj sliko izdelka"
"Configure Cart Item","Nastavi košarico"
"Confirm Password","Potrdi geslo"
"Content","Vsebina"
"Content Height","Višina vsebine"
"Content Height (css)","Višina vsebine (css)"
"Continue","Nadaljujte"
"Continue Shopping","Nadaljujte z nakupom"
"Continue to Billing Information","Nadaljujte na podatke o plačevanju"
"Continue to Review Your Order","Nadaljujte na pregled vašega naročila"
"Continue to Shipping Information","Nadaljujte na podatke o dostavi"
"Country","Država"
"Coupon code ""%s"" is not valid.","Koda kupona ""%s"" ni veljavna."
"Coupon code ""%s"" was applied.","Koda kupona ""%s"" je bila uporabljena."
"Coupon code was canceled.","Koda kupona je bila preklicana."
"Create Billing Address","Ustvari naslov za plačevanje"
"Create Shipping Address","Ustvari naslov za dostavo"
"Create an order from shopping cart","Ustvari naročilo iz nakupovalne košarice"
"Create shopping cart","Ustvari nakupovalno košarico"
"Customer Information","Podatki o stranki"
"Customer's information","Strankini podatki"
"Data saving problem","Težava pri shranjevanju datuma"
"Default Billing","Privzeto zaračunavanje"
"Default Shipping","Privzeta dostava"
"Delete Condition","Odstrani pogoj"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Discount Codes","Kode za popust"
"Display Cart Summary","Prikaži povzetek košarice"
"Display Shopping Cart Sidebar","Prikaži stransko orodno vrstico nakupovalne košarice"
"Display item quantities","Prikaži količine izdelkov"
"Display number of items in cart","Prikaži število izdelkov v košarici"
"Display number of items in wishlist","Prikaži število izdelkov na listi želja"
"Easy access to your order history and status","Enostaven dostop da zgodovine nakupov in stanja"
"Edit","Uredi"
"Edit Address","Uredi naslov"
"Edit Billing Address","Uredi naslov za plačevanje"
"Edit Items","Uredi izdelke"
"Edit Shipping Address","Uredi naslov za dostavo"
"Edit Terms and Conditions","Uredi pravila in pogoje"
"Edit Your Cart","Uredite vašo košarico"
"Edit item","Uredi izdelek"
"Edit item parameters","Uredi parametre izdelka"
"Email Address","Elektronski naslov"
"Enable Onepage Checkout","Omogoči zaključek nakupa na eni strani"
"Enable Terms and Conditions","Omogoči pravila in pogoje"
"Enabled","Omogočeno"
"Enter a New Address","Vnesite nov naslov"
"Enter your coupon code if you have one.","Vnesite kodo kupona, če jo imate."
"Enter your destination to get a shipping estimate.","Vnesite vašo lokacijo za oceno stroškov dostave."
"Estimate Shipping and Tax","Ocenite dostavo in DDV"
"Excl. Tax","Brez DDV"
"Fast and easy check out","Hiter in enostaven zaključek nakupa"
"Fax","Faks"
"Forgot an Item?","Ste pozabili izdelek?"
"Forgot your password?","Pozabljeno geslo?"
"Get a Quote","Zahtevaj predačun"
"Get list of available payment methods","Pridobi seznam z načini dostave, ki so na voljo"
"Get list of available shipping methods","Pridobi seznam z načini plačila, ki so na voljo"
"Get list of products in shopping cart","Pridobi seznam produktov, ki so v nakupovalni košarici"
"Get terms and conditions","Pridobi Pogoje poslovanja"
"Get total prices for shopping cart","Pridobi skupne cene za nakupovalni košarico"
"Gift Message","Sporočilo o darilu"
"Grand Total:","Skupaj za plačilo"
"Grouped Product Image","Slike združenih izdelkov"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Z DDV"
"Invalid method: %s","Neveljaven način: %s"
"Item not found or already ordered","Izdelek ni najden ali pa je že naročen"
"Items","Izdelki"
"Items After","Izdelki po"
"Items Before","Izdelki pred"
"Load customer quote error","Naloži napako predračuna stranke"
"Loading next step...","Nalagam naslenji korak ..."
"Login","Prijavi se"
"Login/Registration Before","Prijavljen/Registrian pred"
"Manage Checkout Terms and Conditions","Uredi pravila in pogoje zaključka nakupa"
"Maximum Display Recently Added Item(s)","Največje število zadnjih dodanih izdelkov za prikaz"
"Maximum qty allowed for Shipping to multiple addresses is %s","Največja dovoljena količina za dostavo na več naslovov je %s"
"Move to Wishlist","Skoči na seznam želja"
"Multishipping Checkout","Naročilo z dostavo na več naslovov."
"Multishipping Checkout Address (Any) Form","Obrazec za vpis različnih naslovov dostave"
"Multishipping Checkout Billing Address Creation","Kreiraj naslov za plačevanje naročila z dostavo na več naslovov"
"Multishipping Checkout Billing Address Edit Form","Obrazec za urejanje naslova za plačevanje naročila z dostavo na več naslovov"
"Multishipping Checkout Billing Address Selection","Izbira naslova za plačevanje pri naročilu z dostavo na več naslovov"
"Multishipping Checkout Billing Information Step","Navodila za plačilo naročila z dostavo z več naslovi"
"Multishipping Checkout Customer Address Edit Form","Obrazec za urejanje naslova stranke, ki je oddala naročilo z dostavo na več naslovov"
"Multishipping Checkout Overview","Pregled naročila z dostavo na več naslovov"
"Multishipping Checkout Shipping Address Creation","Kreiraj naslov za dostavo naročila z dostavo na več naslovov"
"Multishipping Checkout Shipping Address Edit Form","Obrazec za urejanje naslova za dostavo naročila z dostavo na več naslovov"
"Multishipping Checkout Shipping Address Selection","Izbira naslova za dostavo pri naročilu z dostavo na več naslovov"
"Multishipping Checkout Shipping Information Step","Navodila za dostavo pri naročilu z dostavo na več naslovov"
