"Collected Files Count","Števec zbranih datotek"
"Compilation","Prevod"
"Compilation State","Stanje prevajanja"
"Compilation error","Napaka prevajanja"
"Compiled","Prevedeno"
"Compiled Scopes Count","Števec nastavitev prevedenega"
"Compiler Status","Status prevajalnika"
"Compiler include path is disabled.","Prevajalnikova vsebovana pot je onemogočena."
"Compiler include path is enabled.","Prevajalnikova vsebovana pot je omogočena."
"Directory ""%s"" must be writeable","Imenik ""%s"" mora biti zapisljiv"
"Disable","Onemogoči"
"Disabled","Onemogočeno"
"Enable","Omogoči"
"Enabled","Omogočeno"
"File ""%s"" must be writeable","Datoteka ""%s"" mora biti zapisljiva"
"Not Compiled","Ni prevedeno"
"Run Compilation Process","Poženi proces prevajanja"
"Scopes Compilation Settings","Nastavitve obsega prevajanja"
"System","Sistem"
"The compilation has completed.","Prevod je končan"
"Tools","Orodja"
