"1.5.0.0 & later","1.5.0.0 & novejši"
"Action","Aktivnost"
"Add Author","Dodaj avtorja"
"Add Contents Path","Dodaj pot do vsebine"
"Add PHP Extension dependency","Dodaj odvisnost PHP razširitve"
"Add Package dependency","Dodaj odvisnost paketa"
"Add files","Dodaj datoteke"
"Authors","Avtorji"
"Channel","Kanal"
"Contents","Vsebina"
"Create Extension Package","Ustvari paket končnic"
"Dependencies","Odvisnosti"
"Description","Opis"
"Edit Extension","Uredi končnico"
"Email","E-pošta"
"Extension","Končnica "
"Extensions","Končnice"
"Failed to create the package.","Napaka pri ustvarjanju paketa."
"Failed to load the package data.","Napaka pri nalaganju podatkov o paketu."
"Failed to save the package.","Napaka pri shranjevanju paketa."
"Files","Datoteke"
"Folder","Imenik"
"Ignore","Prezri"
"Include","Vključi"
"License","Licenca"
"License URI","URI licenca"
"Load Local Package","Naloži lokalni paket"
"Load local Package","Naloži lokalni paket"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Maks."
"Maximum","Največ"
"Min","Min."
"Minimum","Najmanj"
"Name","Ime"
"New Extension","Nova končnica"
"PHP Version","PHP verzija"
"Package","Paket"
"Package Extensions","Končnice paketa"
"Package File Name","Ime datoteke paketa"
"Package Info","Informacije o paketu"
"Packages","Paketi"
"Path","Pot"
"Pre-1.5.0.0","pred 1.5.0.0"
"Release Info","Informacije o izdaji"
"Remove","Odstrani"
"Save As...","Shrani kot …"
"Save Data and Create Package","Shrani podatke in ustvari paket"
"Save package with custom package file name","Shrani paket z imenom paketa po meri"
"Summary","Povzetek"
"Supported releases","Podprta izdaja"
"System","Sistem"
"Target","Cilj"
"The package %s data has been loaded.","Podatki paketa %s so naloženi."
"The package data has been saved.","Podatki paketa so shranjeni."
"There was a problem saving package data","Prišlo je do težave pri shranjevanju podatkov paketa."
"Type","Tip"
"User","Uporabnik"
