"* Required Fields","* Obvezna polja"
"Comment","Komentar"
"Contact Form","Kontaktni obrazec"
"Contact Information","Kontaktne informacije"
"Contact Us","Kontaktirajte nas"
"Contact Us Form","Kontaktni obrazec"
"Contacts","Kontakti"
"Contacts Section","Oddelek s kontakti"
"Email","E-pošta"
"Email Options","Možnosti E-pošte"
"Email Sender","Pošiljatelj E-pošte"
"Email Template","E-poštna predloga"
"Enable Contact Us","Omogoči kontakt"
"Name","Ime"
"Send Emails To","Pošlji E-pošto na"
"Submit","Pošlji"
"Telephone","Telefonska številka"
"Unable to submit your request. Please, try again later","Vaši prošnji trenutno ni možno ugoditi. Prosimo, poskusite kasneje"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Zahvaljujemo se vam za poslano povpraševanje. Odgovorili vam bomo v najkrajšem možnem času.
"Intro text","Pozdravni tekst."
"Support time","Delovni čas:"
"support hours","8:00 - 16.00, Ponedeljek - Petek (GMT +1)"
"Language Support","Podpora v jezikih:"
"support language","Podprt jezik"
"Company Details","Podatki o podjetju"
"VAT ID","Davčna številka:"
"Office Address","Naslov pisarne:"
"Sales","Prodaja:"
"Mail","E-naslov:"
"sales_mail","prodajni_mail"
"Support","Podpora:"
"About us","O nas:"
"about_us","o_nas>"
