"%s","%s"
"%s already exist.","%s že obstaja."
"%s already exists.","%s je že obstajala."
"-- Please Select --","-- Prosimo izberite --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Opozorilo!</strong> Ob uporabi CDN, v nekaterih primerih lahko da JavaScript ne bo deloval pravilno če CDN ni v vaši poddomeni"
"A category object is required for determining the product request path.","Pričakovana je kategorija predmeta za določanje poti zahteve izdelka."
"Add Block Names to Hints","Dodaj imena blokov k namigom"
"Add Secret Key to URLs","Dodaj skrivni ključ k URLjem"
"Add Store Code to Urls","Dodaj ključ trgovine k URLjem"
"Admin","Administrator"
"Admin Base URL","Administratorjev osnovni URL"
"Admin User Emails","E-poštni naslovi administratorja"
"Advanced","Napredno"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Po izbiri nove lokacije za shranjevanje medijev, kliknite na gumb za sinhronizaijo za prenos vse medijev na to lokacijo. Mediji ne bodo na voljo na novi lokaciji dokler sinhronizacija ne bo zaključena."
"Allow Countries","Dovoli države"
"Allow Symlinks","Dovoli simbolne povezave"
"Allowed IPs (comma separated)","Dovoljeni IPji (ločeni z vejico)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Dovoljeni tipi datotek: ICO, PNG, GIF, JPEG, APNG, SVG. Vsi brskalniki ne podpirajo vseh navedenih formatov."
"Allows customers to stay logged in when switching between different stores.","Dovoli strankam, da ostanejo prijavljene, medtem ko preklapljajo med različnimi trgovinami. "
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativno besedilo za naslednjo povezavo v meniju številčenja strani. Če je prazno, bo uporabljena privzeta  sliko s puščico."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativno besedilo za predhodno povezavo v meniju številčenja strani. Če je prazno, bo uporabljena privzeta  sliko s puščico."
"An error occurred while saving. Please review the error log.","Napaka pri shranjevanju. Prosimo, preglejte dnevnik napak."
"Anchor Text for Next","Besedilo za naslednjega"
"Anchor Text for Previous","Besedilo za predhodnega"
"Anchor symbol (#) is not supported in request path","Sidrni znak (#) ni podprt v zahtevani poti"
"Anchor symbol (#) is not supported in url rewrite suffix","Sidrni znak  (#) ni podprt v URL priponi pravila"
"Are you sure?","Ali ste prepričani ?"
"Auto-redirect to Base URL","Samodejno preusmerjanje na osnovni URL"
"Back","Nazaj"
"Backup Options","Možnosti varnostne kopije"
"Base JavaScript URL","Osnovni JavaScript URL"
"Base Link URL","Osnovna povezava URL"
"Base Media URL","Osnovni medij URL"
"Base Skin URL","Osnovna preobleka URL"
"Base URL","Osnovni URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Pred spreminjanjem kode pogleda na trgovino prosimo, da poskrbite, da ni uporabljena v index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Pred spreminjanjem kode spletne strani prosimo, da poskrbite, da ni uporabljena v index.php."
"Block with name ""%s"" already exists","Blok z imenom ""%s"" že obstaja."
"Browser Capabilities Detection","Odkrivanje zmožnosti brskalnika"
"CSS Settings","CSS nastavitve"
"Cache Storage Management","Upravljanje shrambe predpomnilnika"
"Cache storage may contain another data. Are you sure that you want flush it?","Shramba predpomnilnika lahko vsebuje druge podatke. Ali ste prepričani, da jih želite sprazniti ?"
"Can't retrieve request object","Ne morem pridobiti zahtevanih objektov"
"Cancel","Cancel"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Cannot retrieve entity config: %s","Ne morem pridobiti konfiguracije objekta: %s"
"Card type does not match credit card number.","Tip kartice se ne ujema z številko kreditne kartice."
"Code","Koda"
"Controller file was loaded but class does not exist","Kontrolna datoteka je naložen, ampak razred ne obstaja"
"Cookie Domain","Domena piškotka"
"Cookie Lifetime","Življenjska doba piškotka"
"Cookie Path","Pot piškotka"
"Copyright","Avtorske pravice"
"Countries Options","Možnosti držav"
"Create Store","Ustvari trgovino"
"Create Store View","Ustvari pogled na trgovino"
"Create Website","Ustvari spletno stran"
"Credit card number does not match credit card type.","Številka kreditne kartice se ne ujema s tipom kreditne kartice"
"Current Package Name","Ime trenutnega paketa"
"Custom Admin URL","Administratorjev URL po meri"
"Custom Design","Oblikovanje po meri"
"Custom Email 1","E-pošta 1 po meri"
"Custom Email 2","E-pošta 2 po meri"
