"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Povezava</a>"
"Access denied to destination folder ""%s""","Dostop do ciljne datoteke ""%s"" zavrnjen"
"An error occurred while opening file: ""%s"".","Pojavila se je napaka ob odpiranju datoteke: ""%s""."
"Could not load file: ""%s""","Ni možno naložiti datoteke: ""%s"""
"Could not save file: %s","Ni možno shraniti datoteke: %s"
"Declared adapter %s not found","Deklariran adapter %s ni najden"
"Destination folder ""%s"" does not exist or not access to create","Ciljna mapa ""%s"" ne obstaja ali pa ni dostopa za kreiranje"
"Destination folder ""%s"" is not a directory","Ciljne mape ""%s"" ni v imeniku"
"Destination folder ""%s"" is not a writeable","Ciljna mapa ""%s"" ni prepisljiva"
"Done","Končano"
"Dry run set, stopping execution.","Nastavitve v teku, ustavi izvršitev."
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Napaka! Seznam polj za mapiranje ni definirano"
"File ""%s"" does not exist.","Datoteka ""%s"" ne obstaja."
"Found %d rows","Najdene %d vrstice"
"Less than a minute","Manj kot v minuti"
"Loaded successfully: ""%s""","Uspešno naloženo: ""%s"""
"Memory Used: %s","Porabljen spomin: %s"
"Method ""%s"" not defined in adapter %s","Metoda ""%s"" ni definirana v adapterju %s"
"Method ""%s"" was not defined in adapter %s.","Metoda ""%s"" ni bila definirana v adapterju %s."
"Please declare ""adapter"" and ""method"" node first","Prosim najprej prijavi ""adapter"" in ""method"" vozlišče"
"Processed records: %s","Predelani zapisi: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Uspešno shranjeno: ""%s"" [%d byte(s)]"
"Sheet 1","List 1"
"Skip undefined row","Preskoči nedefinirano vrstico"
"Starting %s :: %s","Pričetek %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Lokacija mape ""%s"" dne obstaja ali pa nimate pravic za kreiranje."
"Total records: %s","Vsi zapisi: %s"
"hour","ura"
"hours","ure"
"minute","minuta"
"minutes","minute"
