"-- Please select --","-- Prosimo izberite --"
"Allowed Currencies","Dovoljene valute"
"Base Currency","Osnovna valuta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Osnovno valuto se uporablja za vse online plačilne transakcije. Področje je opredeljeno s področjem kataloške cene (""Katalog""> ""Cena""> ""Področje kataloške cene "")."
"Cannot retrieve rate from %s.","Ne morem pridobiti stopnje iz %s."
"Connection Timeout in Seconds","Časovna omejitev povezave v sekundah"
"Continue &raquo;","Nadaljuj &raquo;"
"Country","Država"
"Country Api","API države"
"Country and Format Type combination should be unique","Kombinacija tipa države in zapisa morata biti edinstvena"
"Currency","Valuta"
"Currency Options","Možnosti valute"
"Currency Setup","Nastavitve valute"
"Currency Update Warnings","Opozorila posodabljanja valut"
"Default Display Currency","Privzet prikaz valute"
"Directory","Imenik"
"Enabled","Omogočeno"
"Error Email Recipient","Napaka pri E-pošti prejemnika"
"Error Email Sender","Napaka pri E-pošti pošiljatelja"
"Error Email Template","Napaka pri Predlogi e-pošte"
"FATAL ERROR:","USODNA NAPAKA:"
"Frequency","Frekvenca"
"Installed Currencies","Nameščene valute"
"Invalid Import Service specified.","Določen je neveljeven uvozni servis"
"Invalid country code: %s","Neveljavna koda države: %s"
"Invalid rates received","Prejete neveljevne stopnje"
"Invalid target currency.","Neveljavna ciljna valuta"
"List of countries","Seznam držav"
"List of regions in specified country","Seznam regij v določeni državi"
"Postal Code is Optional for the following countries","Poštna številka je neobvezna za naslednje države"
"Region","Regija"
"Region Api","API regije"
"Scheduled Import Settings","Nastavitve uvoza po urniku"
"Select Your Currency","Izverite svojo valuto"
"Service","Storitev"
"Start Time","Začetni čas"
"State/Province","Zvezna država/ provinca"
"Strikeiron Email Update Warnings","Opozorila E-poštnih posodobitev za Strikeiron "
"Unable to initialize the import model.","Ne morem inicializirati uvoznega modela."
"Undefined rate from ""%s-%s"".","Nedoločena stopnja od ""%s-%s""."
"WARNING:","OPOZORILO:"
"Webservicex","Webservicex"
"Your current currency is: %s","Vaša trenutna valuta je: %s"
