"Add New Row","Dodajte novo vrstico"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerični, podčrtani znaki in pomišljaji so priporočeni v imenih datotek. Neprimerni znaki bodo zamenjani z \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Prišlo je do napake med prejemanjem zahtevane vsebine. Prosimo kontaktirajte lastnika trgovine."
"An error occurred while getting the requested content.","Prišlo je do napake med prejemanjem zahtevane vsebine. "
"An error occurred while getting the requested content. Please contact the store owner.","Prišlo je do napake med prejemanjem zahtevane vsebine. Prosimo kontaktirajte lastnika trgovine."
"An error occurred while saving the file(s).","Prišlo je do napake med shranjevanjem datoteke."
"Availability:","Dostopnost:"
"Back","Nazaj"
"Canceled","Preklicano"
"Cannot connect to remote host, error: %s.","Ne morem se povezati z oddaljenim gostiteljem, napaka: %s."
"Catalog Product View (Downloadable)","Pogled na katalog izdelkov ( prenosljivo )"
"Customer My Account Downloadable Items","Prenosljivi izdelki v strankinem računu"
"Date","Datum"
"Default Link Title","Privzet naslov povezave"
"Default Maximum Number of Downloads","Privzeto največje število prenosov"
"Default Sample Title","Privzet vzorčni naslov"
"Disable Guest Checkout if Cart Contains Downloadable Items","Onemogoči zaključek nakupa kot Gost, če košarica vsebuje izdelke za prenos"
"Downloadable Information","Prenosljive informacije"
"Downloadable Product","Prenosljiv izdelek"
"Downloadable Product Options","Možnosti prenosljivih izdelkov"
"Downloadable product Section","Oddelek prenosljivih izdelkov"
"Edit","Uredi"
"Edit item parameters","Uredi parametre artikla"
"Excl. Tax","Brez DDV"
"File","Datoteka"
"From:","Od:"
"Gift Message","Sporočilo o darilu"
"Go to <a href=""%s"">My Downloadable Products</a>","Pojdite na <a href=""%s"">Moji prenosljivi izdelki</a>"
"Guest checkout will only work with shareable.","Možnost zaključka nakupa kot gost bo delovala le za izdelke v skupni rabi"
"In stock","Na zalogi"
"Incl. Tax","Z DDV"
"Invalid download URL host.","Neveljaven URL gostitelja prenosa."
"Invalid download URL scheme.","Neveljavna URL shema prenosa."
"Invalid download link type.","Neveljaven tip povezave prenosa."
"Invoiced","Obračunano"
"Links can be purchased separately","Povezave se lahko kupijo ločeno"
"Max. Downloads","Največ prenosov"
"Message:","Sporočilo:"
"Move to Wishlist","Premakni v seznam želja"
"My Downloadable Products","Moji prenosljivi izdelki"
"Open Links in New Window","Odpri povezave v novem oknu"
"Order #","Naročilo #"
"Order Item Status to Enable Downloads","Omogoči prenos za izdelke s stanjem"
"Ordered","Naročeno"
"Out of stock","Ni na zalogi"
"Pending","Na čakanju"
"Please log in to download your product.","Prosimo, prijavite se za prenos vašega izdelka."
"Please set resource file and link type.","Prosimo, nastavite vir datoteke in tip povezave."
"Please specify product link(s).","Prosimo, navedite povezavo/e izdelka."
"Price","Cena"
"Qty","Količina"
"Refunded","Povrnjeno"
"Remaining Downloads","Preostali prenosi"
"Remove Item","Odstrani izdelek"
"Requested link does not exist.","Zahtevana povezava ne obstaja"
"Sample","Vzorec"
"Shareable","Deljivo"
"Shipped","Dostavljeno"
"Sort Order","Vrstni red"
"Start Download","Začni prenos"
"Status","Stanje"
"The file does not exist.","Datoteka ne obstaja."
"The link has expired.","Povezava je potekla."
"The link is not available.","Povezava ni na voljo."
"Title","Naslov"
"To:","Za:"
"U","U"
"Unlimited","Neomejeno"
"Use Content-Disposition","Uporabi Content-Disposition"
"View Order","Ogled naročila"
"You have not purchased any downloadable products yet.","Niste še kupili prenosljivega izdelka"
"attachment","priloga"
"download","prenos"
"inline","v vrsti"
"sample","vzorec"
