"Add","Dodaj"
"Allow Gift Messages for Order Items","Dovoli sporočila o darilu za izdelke naročila"
"Allow Gift Messages on Order Level","Dovoli sporočila o darilu na ravni naročila"
"An error occurred while saving the gift message.","Napaka pri shranjevanju sporočila o darilu."
"Are you sure?","Ali ste prepričani?"
"Check this checkbox if you want to add gift messages to your items.","Označite to polje, če želite dodati sporočila o darilu za vaše izdelke."
"Check this checkbox if you want to add gift messages.","Označite to polje, če želite dodati sporočila o darilu."
"Do you have any gift items in your order?","Ali imate darila v vašem naročilu?"
"Edit","Uredi"
"Enter a gift message for each item in your order.","Vnesi sporočilo o darilu za vsak izdelek vašega naročila."
"Enter a gift message for entire order.","Vnesi sporočilo o darilu za celotno naročilo."
"Enter a gift message for this address.","Vnesi sporočilo o darilu za ta naslov."
"From","Od"
"Gift Messages","Sporočila o darilu"
"Item %d of %d","Izdelki %d od %d"
"Message","Sporočilo"
"No","Ne"
"Save Gift Message","Shrani sporočilo o darilu"
"The gift message has been removed","Sporočilo o darilu je bilo odstranjeno"
"The gift message has been saved","Sporočilo o darilu je shranjeno"
"The gift message has been saved.","Sporočilo o darilu je shranjeno."
"To","Za"
"Unknown entity type","Neznan tip objekta"
"Use config","Uporabi konfiguracijo"
"Yes","Da"
"You can leave this box blank if you do not wish to add a gift message for the item.","To polje lahko pustite prazno, če ne želite dodati sporočila o darilu za ta izdelek."
"You can leave this box blank if you do not wish to add a gift message for this address.","To polje lahko pustite prazno, če ne želite dodati sporočila o darilu za ta naslov."
"You can leave this box blank if you do not wish to add a gift message for whole order.","To polje lahko pustite prazno, če ne želite dodati sporočila o darilu za celotno naročilo."
