"Account Login","Prijava v račun"
"Account Password","Geslo računa"
"Account Type","Tip računa"
"Active","Aktiven"
"Add Attribute Mapping","Dodaj preslikavo atributov"
"Add New Attribute","Dodaj nov atribut"
"Add to Google Base","Dodaj v Google Base"
"Are you sure?","Ali ste prepričani?"
"Attribute","Atribut"
"Attribute Set","Nastavitev atributa"
"Attribute Set and Item Type","Nastavitev atributa in tip izdelka"
"Attributes","Atributi"
"Attributes Mapping","Preslikava atributov"
"Attributes Set","Nastavitve atributov"
"AuthSub","AuthSub"
"Available Products","Izdelki na voljo"
"British Pound Sterling","Britanski funt"
"Cannot update Google Base Item for Store '%s'","Ne morem posodobiti Google Base izdelkov za trgovino '%s'"
"Captcha confirmation error: %s","Napaka Captcha potrditve: %s"
"Captcha has been confirmed.","Captcha je potrjen."
"Catalog","Katalog"
"Clicks","Kliki"
"ClientLogin","ClientLogin"
"Confirm","Potrdi"
"Current Mapping will be reloaded. Continue?","Trenutne preslikave bodo ponovno naložene. Nadaljujem?"
"Custom attribute, no mapping","Atribut po meri, brez preslikave"
"Delete","Odstrani"
"Delete Mapping","Odstrani preslikave"
"Edit Item Type","Uredi tip izdelka"
"Edit Item Type ""%s""","Uredi tip izdelka ""%s"""
"Error: %s","Napaka: %s"
"Euro","Euro"
"Expires","Poteče"
"Germany","Nemčija"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base atribut"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base tip izdelka"
"Google Base Item type","Google Base tip izdelka"
"Google Base Items","Google Base izdelki"
"Google base","Google base"
"Hide","Skrij"
"Hosted","Gostovan"
"Hosted or Google","Gostovan ali Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Neveljaven model izdelka za Google Base izdelek"
"Item Type was deleted","Tip izdelka je odstranjen"
"Item Types","Tipi izdelka"
"Item model is not specified to delete Google Base entry.","Model izdelka ni določen da se odstrani Google Base vnos."
"Items","Izdelki"
"Manage Attribute Mapping","Upravljaj preslikave atributov"
"Manage Attributes","Upravljaj atribute"
"Manage Items","Upravljaj izdelke"
"New Item Type","Nov tip izdelka"
"New ItemType","Nov tip izdelka"
"No","Ne"
"No items were deleted from Google Base","Izdelki niso bili odstranjeni z Google Base"
"No items were published","Izdelki niso bili objavljeni"
"No items were saved as inactive items","Noben izdelek ni bil shranjen kot neaktiven"
"No products were added to Google Base","Noben izdelek ni bil dodan v Google Base"
"Object model is not specified to save Google Base entry.","Model objekta ni določen za shranjevanje Google Base vnosa"
"Page views","Ogledi strani"
"Please, select Attribute Set and Google Item Type to load attributes","Prosimo, izberite skupino atributa in Googlov tip izdelka, da naložite atribute"
"Product Name","Ime izdelka"
"Publish","Objavi"
"Published","Objavljeno"
"Remove","Odstrani"
"Save Mapping","Shrani preslikave"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Seja je potekla med izvozom. Prosimo, ponovno preglejte izvožene izdelke in ponovite postopek, če je potrebno."
"Synchronize","Sinhroniziraj"
"Target Country","Ciljna država"
"The item type has been saved.","Tip izdelka je bil shranjen."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ta aktivnost bo posodobila statistiko postavk in odstranila izdelke, ki niso na volji v Google Base. Ndaljujem?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Skupaj %d izdelkov je odstranjenih; skupaj %d izdelkov je posodobljenih."
"Total of %d items(s) have been published.","Skupaj %d izdelkov je objavljenih."
"Total of %d items(s) have been removed from Google Base.","Skupaj %d izdelkov je odstranjenih iz Google Base."
"Total of %d items(s) have been saved as inactive items.","Skupaj %d izdelkov je shranjenih kot neaktivni."
"Total of %d product(s) have been added to Google Base.","Skupaj %d izdelkov je dodanih v Google Base."
"US Dollar","Ameriški dolar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Ne morem se povezati z Google Base. Prosimo, preverite nastavitve računa in konfiguracijo."
"Unable to select a Store View.","Ne morem izbrati pogleda trgovine."
"United Kingdom","Velika Britanija"
"United States","United States"
"Update Google Base Item when Product is Updated","Posodobi Google Base izdelke, ko je posodobljen izdelek"
"View Available Products","Prikaži izdelke, ki so na voljo"
"View Item in Google Base","Prikaži izdelke v Google Base"
"Yes","Da"
