"* Select shipping method","* Izberite način dostave"
"<br />Warning: <strong>%s</strong><br />","<br />Opozorilo: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Opozorilo!</strong> Ta možnost onemogoči trgovcu kalkulacijo stroškov pošiljanja. S to možnostjo Google API prezre kakršenkoli poskus vpliva na stroške dostave."
"A virtual item to reflect the discount total","Virtualni izdelek, ki odraža skupni popust."
"A virtual item to reflect the tax total","Virtualni izdelek, ki odraža skupni DDV."
"AVS Status: %s","AVS Stanje: %s"
"Add","Dodaj"
"Add Shipping Method","Dodaj način dostave"
"Allowed Methods","Dovoljeni načini"
"Amount: %s","Znesek: %s"
"Auto-generated from GoogleCheckout Charge","Avtomatsko ustvarjeno iz GoogleCheckout Charge"
"Buyer Account Age: %s days","Starost kupčevega računa: %s dni"
"CC Partial: xxxx-%s","Delni CC: xxxx-%s"
"CID Status: %s","CID Stanje: %s"
"Carrier Calculated Methods","Prevoznikovi načini izračuna"
"Cart Discount","Popust na košarico"
"Checkout Image Style","Slog Checkout izgleda"
"Continue Shopping URL","Nadaljuj z nakupovanjem URL"
"Credit memo has been created automatically","Dobropis je ustvarjen avtomatsko"
"Debug","Odpravljanje hroščev"
"Default Package Height (in)","Privzeta višina paketa ( cm )"
"Default Package Length (in)","Privzeta dolžina paketa ( cm )"
"Default Package Width (in)","Privzeta širina paketa ( cm )"
"Default Price for Methods","Privzeta cena za načine"
"Default price:","Privzeta cena:"
"Delivery Address Category","Kategorija naslovov za dostavo"
"Delivery Schedule","Urnik dostave"
"Disable Default Tax Tables","Onemogoči privzeto tabelo davka"
"Discount Tax","Popust na davek"
"Eligible for Protection: %s","Upravičen do zaščite: %s"
"Enable","Omogoči"
"Enable Carrier Calculated","Omogoči prevoznikov izračun"
"Enable Digital Delivery","Omogoči digitalno dostavo"
"Enable Flat Rate","Omogoči pavšal"
"Enable Merchant Calculated","Omogoči trgovčev izračun"
"Enable this if your checkout request is too big and being cut off.","Omogoči, če je vaša zahteva zaključka nakupa prevelika in je bila prekinjena."
"Expiration: %s","Poteče: %s"
"Financial: %s -> %s","Finančno: %s -> %s"
"Free Shipping","Brezplačna dostava"
"Fulfillment: %s -> %s","Izpolnjeno: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Avtorizacija:"
"Google Buyer ID: %s","Google ID kupca: %s"
"Google Charge:","Google Charge:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout dostava - prevoznikov izračun"
"Google Checkout Shipping - Digital Delivery","Google Checkout dostava - digitalna dostava"
"Google Checkout Shipping - Flat Rate","Google Checkout dostava - pavšal"
"Google Checkout Shipping - Merchant Calculated","Google Checkout dostava - izračun trgovca"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google številka naročila: %s"
"Google Order Status Change:","Google sprememba stanja naročila:"
"Google Refund:","Google povračilo:"
"Google Risk Information:","Google informacija tveganja:"
"Hide Cart Contents","Skrij vsebino košarice"
"IP Address: %s","IP naslov %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Če je omogočeno, bo vsebina košarice skrita po kliku na Google Checkout gumb v nakupovalni košarici in obnovljena, če bo aktivirana povezava v ""Uredi košarico""."
"Invoice Auto-Created: %s","Samoustvarjen račun: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Je kupec pripravljen prejemati marketinško E-pošto: %s"
"Large - %s","Veliko - %s"
"Latest Charge: %s","Zadnji račun: %s"
"Latest Chargeback: %s","Zadnje povračilo: %s"
"Latest Refund: %s","Zadnje nadomestilo %s"
"Location","Lokacija"
"Medium - %s","Srednje - %s"
"Merchant ID","Trgovčev ID"
"Merchant Key","Trgovčev ključ"
"Method","Način"
"New Order Status","Stanje novega naročila"
"No","Ne"
"Optional, leave empty for home page.","Neobvezno, pusti prazno za domačo stran"
"Rate 1 Amount","Znesek stopnje 1"
"Rate 1 Ship To Applicable Countries","Stopnja 1 za pošiljke v dovoljene države"
"Rate 1 Ship to Specific Countries","Stopnja 1 za pošiljke v določene države"
"Rate 1 Title","Naslov stopnje 1"
"Rate 2 Amount","Znesek stopnje 2"
"Rate 2 Ship To Applicable Countries","Stopnja 2 za pošiljke v dovoljene države"
"Rate 2 Ship to Specific Countries","Stopnja 2 za pošiljke v določene države"
"Rate 2 Title","Naslov stopnje 2"
"Rate 3 Amount","Znesek stopnje 3"
"Rate 3 Ship To Applicable Countries","Stopnja 3 "
"Rate 3 Ship to Specific Countries","Stopnja 3 za pošiljke v določene države"
"Rate 3 Title","Naslov stopnje 3"
"Remove","Odstrani"
"Required for live Google Checkout transactions.","Zahtevano za Google Checkout transakcije v živo."
"Sandbox","Peskovnik"
"Secure Callback URL","Varna povratna povezava URL"
"Small - %s","Majhno - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Znesek davka je bil odobren glede na prejeto informacijo s strani Google Checkout, ker znesek davka prejet s strani Google Checkout se razlikuje od preračunanega zneska davka."
"Title","Naslov"
"Total Chargeback: %s","Skupaj povrnjeno: %s"
"Total Charged: %s","Skupaj zaračunano: %s"
"Total Refunded: %s","Skupaj povrnjeno %s"
"Transparent","Prozoren"
"United Kingdom","Velika Britanija"
"United States","Združene Države Amerike"
"White Background","Belo ozadje"
"Yes","Da"
"You will be redirected to GoogleCheckout in a few seconds.","V nekaj sekundah boste preusmerjeni na GoogleCheckout"
