"-- Please Select --","-- Prosim izberite --"
"Account Registration","Registracija računa"
"All fields of script types have to be filled.","Izpolniti je potrebno vsa polja tipov skripte"
"Attributes","Atributi"
"Category View Optimization","Optimizacija kategorije"
"Control Script","Kontrolna skripta"
"Conversion Page","Ciljna stran"
"Conversion Page URL","URL ciljne strani"
"Conversion Script","Skripta ciljne strani"
"Enable","Omogoči"
"Google Optimizer Scripts","Google Optimizer skripte"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Namesti skripte"
"Multi Address Checkout","Zaključek nakupa z več naslovi"
"One Page Checkout","Zaključek nakupa na eni strani"
"Order Success (Multi Address Checkout)","Uspešno naročilo (Multi Address Checkout)"
"Order Success (One Page Checkout)","Uspešno naročilo (One Page Checkout)"
"Original Page","Originalna stran"
"Other","Drugo"
"Page Type","Tip strani"
"Page View Optimization","Optimizacija ogleda strani"
"Please copy and paste this value to experiment edit form","Za poskus urejanja obrazca kopiraj in prilepi to vrednost"
"Please copy and paste this value to experiment edit form.","Za poskus urejanja obrazca kopiraj in prilepi to vrednost."
"Please select store view to see the URL","Prosim, izberi trgovino, da bi videl URL"
"Please select store view to see the URL.","Prosim, izberi trgovino, da bi videl URL."
"Product View Optimization","Optimizacija strani izdelka"
"Scripts Install URL","URL namestitvene skripte"
"Shopping Cart","Nakupovalna košarica"
"The limit is 8 attributes only.","Omejitev je do 8 atributov"
"Tracking Script","Skripta za sledenje"
"Use Default","Uporabi privzeto"
"Use Default Values","Uporabi privzete vrednosti"
"Variant Page","Različna stran"
