"(Make sure you keep it in a safe place.)","(Hranite ga na varnem mestu.) "
"(Optional. Leave blank for no prefix)","(Neobvezno. Pustite prazno za brez predpone) "
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Dodatna pot dodana po osnovni URL za dostop do vaše nadzorne plošče (npr. admin, nadzornikova stran , kontrola, itd.) "
"Admin Path","Administratorska pot"
"After successfull installation please click the button below.","Po uspešni namestitvi prosimo kliknite na gumb spodaj. "
"All packages were installed, click 'OK' to continue with installation.","Vsi paketi so nameščeni, kliknite 'OK' za nadaljevnaje namestitve."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Kot drugo možnost lahko poskusite v načinu 'Prenosi in posodobitve priročnika'."
"Base URL","Osnovni URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Preden nadaljujete z vašo trgovino, vas prosimo, da si zapišete vaš šifrirni ključ (Magento ga uporablja za šifriranje gesel, kreditnih kartic in drugega)."
"Check out our","Oglejte si naš"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Označite to polje le, če ni mogoče samodejno potrditi varen URL, na primer, če se zahteva HTTP preverjanje pristnosti."
"Check this box only if it is not possible to automatically validate the Base URL.","Označite to polje le, če ni mogoče samodejno potrditi osnovni URL. "
"Choose this if you would like to test frontend and backend functionality.","Izberite to, če bi želeli preizkusiti funkcionalnost uporabnikove in nadzornikove strani."
"Configuration","Konfiguracija"
"Confirm Password","Potrdi geslo"
"Connection","Povezava"
"Continue","Nadaljuj"
"Continue After Manual Download","Nadaljuj po prenosu priročnika"
"Continue Full Download / SVN Installation","Nadaljuj s polnim prenosom/ SVN namestitev"
"Create Admin Account","Ustvari račun za administratorja"
"Currently this is the most stable state available for Magento packages.","Trenutno je to najbolj stabilno stanje na voljo za pakete Magento."
"Database","Podatkovna baza"
"Database Connection","Povezava s podatakovno bazo"
"Database Name","Ime podatkovne baze"
"Database Name cannot be empty.","Ime podatkovne baze ne sme biti prazno"
"Database connection error.","Napaka povezave s podatkovno bazo."
"Database host","Gostitelj podatkovne baze"
"Database server does not support the InnoDB storage engine.","Strežnik podatkovne baze ne podpira InnoDB pomnilniške naprave."
"Database user name","Uporabniško ime podatkovne baze"
"Database user password","Uporabniško geslo podatkovne baze"
"Default Currency","Privzeta valuta"
"Download","Prenos"
"Download Magento Core Modules and Updates","Prenesi Magento Core module in posodobitve"
"Downloading and installing Magento, please wait...","Prenašam in nameščam Magento, prosimo počakajte ..."
"Email","e-pošta"
"Email Address","E-poštni naslov"
"Enable Charts","Omogoči tabele"
"Enable this option if you want the charts to be displayed on Dashboard.","Omogočite to možnost, če želite, da se tabele prikazujejo na nadzorni plošči."
"Enable this option only if you have SSL available.","Omogočite to možnost samo, če imate SSL na voljo."
"Encryption Key","šifrirni ključ"
"File System","Datotečni sistem"
"First Name","Ime"
"Full Download / SVN Installation","Polni prenos/ SVN namestitev"
"Get ready to experience Open-Source eCommerce Evolved.","Pripravite se na doživetje razvite odprtokodne spletne trgovine"
"Go to Backend","Pojdi na nadzornikovo stran"
"Go to Frontend","Pojdi na uporabnikovo stran"
"Having trouble installing Magento?","Imate težave z nameščanjem Magento?"
"Help Us to Keep Magento Healthy","Pomagajte nam ohranjati Magento zdrav"
"Host","Gostitelj"
"I agree to the above terms and conditions.","Strinjam se z zgoraj navedenimi pogoji."
"If you are a developer and would like to have the latest public updates, choose this option.","Če ste razvijalec in bi želeli zadnje javne posodobitve, označite to možnost."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Če imate nameščen PHP kot CGI, lahko tečejo vaši PHP procesi pod istim uporabnikom, ki ste ga uporabili za nalaganje Magento datotek."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Če poganjate čarovnika za namestitev čez predhodno prenešen in nameščen Magento, nadaljuje s to metodo."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Če ne želite ali če ne morete imeti Magento map zapisljivih za spletne procese, lahko uporabite PEAR izvršljivo datoteko, ki se nahaja v korenski mapi Magento namestitve."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Če ste prenesli polni paket ali namestili Magento preko SVN, prekočite nameščanje in preverjanje paketov s klikom na spodnji gumb."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Če želite upravljati Magento pakete preko nadzorne plošče, potrebujete dovoljenje za pisanje v vse Magento mape in datoteke"
"If your server is running on MS Windows, most probably you will not need to change anything.","Če vaš strežnik teče na MS Windows, vam najverjetneje ne bo treba spreminjati ničesar."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","V drugih primerih boste morali narediti Magento datoteke zapisljive za uporabnika, pod katerim tečejo procesi spletnega strežnika"
"Installation","Namestitev"
"Installation Guide","Namestitveni vodič"
"Last Name","Priimek"
"License Agreement","Licenčna pogodba"
"Locale","Jezik "
"Locale settings","Jezikovne nastavitve"
"Localization","Lokalizacija"
"Login Information","Prijavni podatki"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Magento čarovnik za namestitev"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento je blagovna znamka Magento Inc. Avtorske pravice; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento uporablja ta ključ za šifriranje gesel, kreditnih kartic in drugega. Če to polje pustite prazno, bo sistem ustvaril šifrirni ključ za vas in ga prikazal na naslednji strani."
"Manual Downloads and Upgrades","Prenosi in posodobitve priročnika"
"One of PHP Extensions ""%s"" must be loaded.","Ena od PHP razširitev ""%s"" mora biti naložena."
"PHP Extension '%s' loaded","PHP razširitev '%s' je naložena"
"PHP extension ""%s"" must be loaded.","PHP razširitev ""%s"" mora biti naložena."
"Package Management through the Web","Paket za upravljanje preko spleta"
"Password","Geslo"
"Password Confirmation","Potrditev gesla"
"Path ""%s"" must be writable.","Pot ""%s"" mora biti zapisljiva."
"Personal Information","Osebni podatki"
"Please correct the user data and try again.","Prosimo, popravite uporabniške podatke in poskusite znova."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Prosimo, prepričajte se, da je <code>mod_rewrite</code> omogočena v Apache konfiguraciji."
"Please note that it is much less stable than beta.","Prosimo upoštevajte, da je precej manj stabilna kot beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Prosimo, upoštevajte, da so samo UNIX, Linux and Mac OS X lupine trenutno podprte. Za Windows uporabite '%s' možnost."
"Please set all required settings before clicking Continue","Prosimo, nastavite vse zahtevane nastavitve pred klikom na Nadaljuj"
"Preferred stability: %s","Željena stabilnost: %s"
"Proceed With Automatic Download (%s)","Nadaljuj s samodejnim prenosom (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Zagotovi popoln osnovni URL za SSL povezavo. Na primer: %s"
"Report All Bugs","Sporoči vse hrošče"
"Required Fields","Obvezna polja"
"Response from server isn\'t valid.","Odgovor iz strežnika ni veljaven."
"Run admin interface with SSL","Poženi administrativni vmesnik s SSL"
"Run this in your shell from Magento root folder:","Poženi to v svoji lupini iz Magento korenske mape:"
"Save Session Data In","Shrani podatke seje v"
"Save Session Files In","Shrani datoteke seje v"
"Secure Base URL","Varen osnovni URL"
