" Copy","Kopiraj"
"Action","Aktivnost"
"Add New Template","Dodaj novo predlogo"
"Add to Queue","Dodaj v čakalno vrsto"
"Allow Guest Subscription","Dovoli gostu prijavo"
"An error occurred while saving your subscription.","Prišlo je do napake pri shranjevanju vaše prijave."
"Are you sure that you want to delete this template?","Ali ste prepričani, da želite odstraniti to predlogo?"
"Are you sure that you want to strip all tags?","Ali ste prepričani, da želite odstraniti vse značke?"
"Back","Nazaj"
"Cancel","Prekliči"
"Cancelled","Preklicano"
"Cannot mark as received subscriber.","Ne morem označiti kot sprejetega naročnika."
"Confirmation Email Sender","Potrditev E-pošte pošiljatelja"
"Confirmation Email Template","Potrditev predloge E-pošte "
"Confirmation request has been sent.","Poslali smo vam zahtevo za potrditev"
"Convert to Plain Text","Pretvori v navadno besedilo"
"Create Newsletter Template","Ustvari predlogo za E-novice"
"Customer","Stranka"
"Customer First Name","Ime stranke"
"Customer Last Name","Priimek stranke"
"Customer My Account Newsletter Subscriptions","Stranka, Moj račun, E-novice, Prijave"
"Date Added","Datum vpisa"
"Date Updated","Datum posodobitve"
"Delete","Odstrani"
"Delete Selected Problems","Odstrani izbrane težave"
"Delete Template","Odstrani predlogo"
"Do you really want to cancel the queue?","Ali res želite preklicati čakalno vrsto?"
"Duplicate template code.","Podvojena koda predloge."
"Edit Newsletter","Uredi E-novice"
"Edit Newsletter Template","Uredi predlogo za E-novice"
"Edit Queue","Uredi čakalno vrsto"
"Edit Template","Uredi predlogo"
"Email","E-pošta"
"Enter your email address","Vnesite vaš E-poštni naslov"
"Error Code","Koda napake"
"Error Text","Vsebina napake"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Za odjavo sledite povezavi <!-- Ta značka je za povezavo do odjave  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gost"
"ID","ID"
"Invalid queue selected.","Izbrana je neveljavna čakalna vrsta"
"Invalid subscription ID.","Neveljaven ID za prijavo"
"Invalid subscription confirmation code.","Neveljavna potrditvena koda za prijavo"
"Message","Sporočilo"
"Need to Confirm","Potrebno potrditi"
"New Newsletter Template","Nova predloga za E-novice"
"New Template","Nova predloga"
"Newsletter","E-novice"
"Newsletter Message Preview","Predogled E-novic"
"Newsletter Problem Reports","Poročila o težavah z E-novicami"
"Newsletter Queue","Čakalna vrsta za E-novice"
"Newsletter Section","Oddelek za E-novice"
"Newsletter Sign-up:","Prijava na E-novice"
"Newsletter Styles","Stil E-novic"
"Newsletter Subscribers","Naročniki na E-novice"
"Newsletter Subscription","Prijava na E-novice"
"Newsletter Subscription Form Before","Obrazec za prijavo na E-novice pred"
"Newsletter Subscriptions","Prijave na E-novice"
"Newsletter Templates","Predloga za E-novice"
"Newsletter subscription confirmation","Potrditev prijave na E-novice"
"Newsletter subscription success","Prijava na E-novice je bila uspešna"
"Newsletter unsubscription success","Odjava od E-novic je bila uspešna"
"No Templates Found","Nobenih predlog najdenih"
"No problems found.","Nobenih težav najdenih."
"No subscribers selected.","Noben naročnin ni izbran"
"Not Activated","Ni aktivirano"
"Not Sent","Ni poslano"
"Pause","Premor"
"Paused","Zaustavljeno"
"Please enter a valid email address.","Prosimo vnesite veljaven e-poštni naslov"
"Please enter new template name","Prosimo vnesite novo ime predloge"
"Please select subscriber(s)","Prosimo izberite naročnika/e"
"Preview","Predogled obvestila"
"Preview Template","Predogled predloge"
"Processed","Zaključeno"
"Queue Date Start","Datum začetka čakalne vrste"
"Queue Finish","Zaključek čakalne vrste"
"Queue Information","Podatki o čakalni vrsti"
"Queue Newsletter...","Čakalna vrsta E-novic ..."
"Queue Start","Začetek čakalne vrste"
"Queue Subject","Predmet čakalne vrste"
"Recipients","Prejemniki"
"Reset","Ponastavi"
"Resume","Nadaljuj"
"Return HTML Version","Vrni HTML verzijo"
"Save As","Shrani kot"
"Save Newsletter","Shrani E-novice"
"Save Template","Shrani predlogo"
"Save and Resume","Shrani in nadaljuj"
"Selected problem subscribers have been unsubscribed.","Izbrani težavni naročniki so bili odjavljeni"
"Selected problems have been deleted.","Izbrane težave so bile izbrisane"
"Sender","Pošiljatelj"
"Sender Email","Pošiljateljeva E- pošta"
"Sender Name","Pošiljateljevo ime"
"Sending","Pošiljam"
"Sent","Poslano"
"Sign Up for Our Newsletter:","Prijavite se na naše E-novice:"
"Sign up for our newsletter","Prijavite se na naša E-novice:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Se opravičujemo, vendar administrtor je zavrnil prijavo za goste. Prosimo <a href=""%s"">registrirajte se</a>."
"Start","Začetek"
"Status","Stanje"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Subject","Predmet"
"Submit","Pošlji"
"Subscribe","Naroči"
"Subscribed","Naročeno"
"Subscriber","Naročnik"
"Subscribers","Naročniki"
"Subscribers From","Naročniki iz"
"Subscription Options","Možnosti prijave"
"Success Email Sender","Pošiljatelj E-pošte o uspehu"
"Success Email Template","Predloga E-pošte o uspehu"
"Template Content","Vsebina predloge"
"Template Information","Informacija predloge"
"Template Name","Ime predloge"
"Template Styles","Stili predloge"
"Template Subject","Predmet predloge"
"Template Type","Tip predloge"
"Thank you for your subscription.","Zahvaljujemo se za vašo prijavo"
"The subscription has been removed.","Prijava je bila odstranjena"
"The subscription has been saved.","Prijava je bila shranjena"
"There was a problem with the subscription.","Prišlo je do težave s prijavo"
"There was a problem with the subscription: %s","Prišlo je do težave s prijavo: %s"
"There was a problem with the un-subscription.","Prišlo je do težave pri odjavi"
"This email address is already assigned to another user.","Ta e-poštni naslov je že dodeljen drugemu uporabniku."
"Type","Tip"
"Unconfirmed","Nepotrjeno"
"Unsubscribe","Odjava"
"Unsubscribe Selected","Izbrana je odjava"
"Unsubscribed","Odjavljen"
"Unsubscription Email Sender","Pošiljatelj E-pošte o odjavi"
"Unsubscription Email Template","Predloga E-pošte o odjavi"
"View Newsletter","Oglej si E-novice"
"Website","Spletna stran"
"You have been unsubscribed.","Bili ste odjavljeni."
"Your subscription has been confirmed.","Vaša prijava je potrjena"
