"%s Item(s)","Izdelkov: %s"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2011 Magento Store. Vse pravice pridržane"
"(Shift-)Click or drag to change value","(Shift-)Klikni in povleci za menjavo valute"
"(ver. %s)","(ver. %s)"
"=- Click on any of the time parts to increase it","=-Za povečavo klikni na katerikoli del časa "
"=- Hold mouse button on any of the above buttons for faster selection.","=- Miškin gumb drži na kateremkoli od gornjih gumbov za hitrejšo izbiro."
"- Use the %s buttons to select month","- Uporabi %s gumbe za izbiro meseca"
"- Use the %s, %s buttons to select year","- Uporabi %s gumbe za izbiro leta"
"=- or Shift-Click to decrease it","=- ali dvigni - klikni za zmanjšanje"
"=- or Click and drag for faster selection.","=- ali klikni in povleci za hitri izbor."
"-- Please Select --","-- Prosimo izberite --"
"1 column","enostolpično"
"2 columns with left bar","dvostolpično z levim menijem"
"2 columns with right bar","dvostolpično z desnim menijem"
"3 columns","tristolpično"
"About the calendar","O koledarju"
"All Empty Layout Pages","Vse prazne strani postavitve"
"All One-Column Layout Pages","Vse enostolpične strani postavitve"
"All Pages","Vse strani"
"All Pages (Print Version)","Vse strani (verzija za tisk)"
"All Three-Column Layout Pages","Vse tristolpične strani postavitve"
"All Two-Column Layout Pages (Left Column)","Vse dvostolpične strani postavitve (levi stoplec)"
"All Two-Column Layout Pages (Right Column)","Vse dvostolpične strani postavitve (desni stoplec)"
"Breadcrumbs","Drobtine"
"Click <a href=""%s"">here</a> if nothing has happened","Kliknite <a href=""%s"">here</a> če se ni bič zgodilo"
"Close","Zapri"
"Close Window","Zapri okno"
"DHTML Date/Time Selector","DHTML Datum/Čas izbirnik"
"Date selection:","Izbira datuma:"
"Default Description","Privzet opis"
"Default welcome msg!","Privzeto sporočilo o dobrodošlici!"
"Display %s first","Najprej prikaži %s"
"Distributed under GNU LGPL. See %s for details.","Distribuirano po GNU LGPL. Glej %s detajle."
"Drag to move","Povlecite za premik"
"Empty","Prazen"
"For latest version visit: %s","Za najnovejšo verzijo obiščite: %s"
"Free Shipping on orders over 50$","Brezplačna dostava za naročila nad 50$"
"Go Today","Pojdi danes"
"Help Us to Keep Magento Healthy","Pomagajte nam ohraniti Magento zdrav"
"Interface Language","Jezik uporabniškega vmesnika"
"Items %s to %s of %s total","Izdelki %s do %s od skupaj %s"
"JavaScript seem to be disabled in your browser.","Očitno je JavaScript onemogočen v vašem brskalniku"
"Left Column","Levi stolpec"
"Main Content Area","Področje glavne vsebine"
"Navigation Bar","Povezovalna vrstica"
"Next","Naslednji"
"Next month (hold for menu)","Naslednji mesec (drži za menu)"
"Next year (hold for menu)","Naslednje leto (drži za menu)"
"Page Bottom","Dno strani"
"Page Footer","Noga strani"
"Page Header","Glava strani"
"Page Top","Vrh strani"
"Page:","Stran:"
"Prev. month (hold for menu)","Pretekli mesec (drži za menu)"
"Prev. year (hold for menu)","Preteklo leto (drži pritisnjeno za menu)"
"Previous","Prejšnje"
"Redirecting...","Preusmerjanje …"
"Report All Bugs","Sporoči vse programske napake"
"Right Column","Desni stolpec"
"Select Store","Izberi trgovino"
"Select Store:","Izberi trgovino:"
"Select date","Izberi datum"
"Show","Prikaži"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To je testna trgovina. Naročila, poslana preko te trgovine ne bodo upoštevana in izpolnjena."
"Time selection:","Izbira časa:"
"Time:","Čas:"
"Welcome, %s!","Pozdravljeni, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Na svojem brskalniku morate imeti omogočen JavaScript, če želite izkoristiti uporabnost te spletne strani."
"Your Language","Vaš jezik"
"Your Language:","Vaš jezik:"
"per page","na stran"
