"An error occurred while clearing the external full page cache.","Pojavila se je napaka ob brisanju predpomnilnika celotne strani."
"Cookie Lifetime (seconds)","Trajanje piškotka (v sekundah)"
"Enable External Cache","Omogoèi zunanji predpomnilnik"
"External Cache Control","Nadzor nad zunanjim predpomnilnikom"
"External Full Page Cache Settings","Nastavitve zunanjega predpomnilnika za celotno stran"
"External full page cache.","Zunanji predpomnilnik za celotno stran."
"Failed to load external cache control","Nalaganje nadzora za zunanji predpomnilnik ni uspelo"
"Flush External Page Cache","Èišèenje zunanjega predpomnilnika za stran"
"If empty, default value will be used.","Èe pustite prazno bo uporabljena privzeta vrednost."
"The external full page cache has been cleaned.","Predpomnilnik za zunanjo celotno stran je bil brisan."
"Zend Full Page Cache","Zend predpomnilnik celotne strani"
