"API Login ID","ID za prijavo v API"
"Accepted Currency","Možne valute"
"Authorize Only","Dovoli samo"
"Authorize and Capture","Dovoli in zajemi"
"Authorize.net","Authorize.Net"
"Credit Card Types","Tipi kreditnih kartic"
"Credit Card Verification","Preverjanje kreditne kartice"
"Debug","Odpravljanje programskih napak"
"Email Customer","E-pošta stranki"
"Enabled","Omogočeno"
"Error in capturing the payment.","Napaka pri zajemu plačila"
"Error in payment gateway.","Napaka pri prehodu plačila"
"Error in refunding the payment.","Napaka pri povračilu plačila"
"Gateway error: %s","Napaka prehoda: %s"
"Invalid amount for authorization.","Neveljaven znesek za avtorizacijo"
"Invalid transaction ID.","Neveljavna oznaka prenosa"
"Maximum Order Total","Največje naročilo skupaj"
"Merchant's Email","E-pošta prodajalca"
"Minimum Order Total","Najmanjše naročilo skupaj"
"New Order Status","Stanje novega naročila"
"Payment Action","Plačilo"
"Payment authorization error.","Napaka pri odobritvi plačila"
"Payment authorization transaction has been declined.","Dovoljenje za plačilo je bilo zavrnjeno"
"Payment from Applicable Countries","Plačila iz dovoljenih držav"
"Payment from Specific Countries","Plačila iz določenih držav"
"Sort Order","Vrstni red"
"Test Mode","Testni način"
"Title","Naslov"
"Transaction Key","Transakcijski ključ"
