"%s %s cycle.","%s %s cikel."
"--Please Select--","--Prosimo izberite--"
"3D Secure Card Validation","3D Secure potrjevanje kartice"
"3D Secure Credit Card Validation","3D Secure potrjevanje kreditne kartice"
"<label>Make Check payable to:</label> %s","<label>Izstavite ček na ime</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Pri načinu v živo je zahtevana vrednost. Preverite v svoji pogodbi s CardinalCommerce."
"Allow Initial Fee Failure","Dovoli napako vstopne provizije"
"An internal reference ID is required to save the payment profile.","Da bi lahko shranili svoj plačilni profil, potrebujete notranji referenčni ID."
"Auto Bill on Next Cycle","Samodejni obračun v naslednjem ciklu"
"Automatically Invoice All Items","Samodejni obračun za vse predmete"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Samodejno zaračunaj izredni neporavnani znesek v naslednjem obračunskem ciklu (če so bila plačila neuspešna)."
"Billing Agreement status is not set.","Status pogodbe o plačevanju še ni nastavljen."
"Billing Amount","Znesek obračuna"
"Billing Frequency","Obračunska frekvenca"
"Billing Period","Obračunsko obdobje"
"Billing Period Unit","Enota obračunskega obdobja"
"Billing period unit is not defined or wrong.","Enota obračunskega obdobja je napačna ali ni določena."
"Cannot load configuration for payment method ""%s""","Ne morem naložiti konfiguracije za način plačila ""%s"""
"Cannot retrieve payment method instance.","Ne morem pridobiti primerov načina plačila."
"Cannot retrieve the payment info model object.","Ne morem pridobiti modela objekta za informacijo o plačilu."
"Cannot retrieve the payment method model object.","Ne morem pridobiti modela objekta za način plačila."
"Card Verification Number","Številka za preverjanja kartice"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Ček / Bančno nakazilo"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Number: xxxx-%s","Številka kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Credit Card Types","Tipi kreditnih kartic"
"Currency","Valuta"
"Currency code is undefined.","Koda valute je nedoločena."
"Customer ID is not set.","Stankin ID ni nastavljen"
"Day","Dan"
"Debug Mode","Način odpravljanja programskih napak"
"Enabled","Omogočeno"
"Expiration Date","Datum poteka"
"Expiration Date: %s/%s","Datum poteka: %s/%s"
