"-OR-","-ALI-"
"2-pixel perimeter around the header space.","območje 2 pikslov okoli prostora glave"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure potrditev kartice"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure potrditev je zahtevana za Maestro kartice. Podpora za kartice American Express zahteva dodatne pogodbe. Več na <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Začnite prejemati plačila preko PayPala!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Za način v živo je potrebna vrednost. Preglejte vašo CardinalCommerce pogodbo."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH polog (zadržite za reševanje ali drugo za preiskavo)"
"ACH Deposit (Reversal)","ACH polog (vračljivo)"
"ACH Funding for Funds Recovery from Account Balance","ACH nakazilo za oživitev fonda iz stanja računa "
"ACH Withdrawal","ACH dvig"
"API Password","API geslo"
"API Signature","API podpis"
"API Username","API uporabniško ime"
"API Uses Proxy","API uporaba proxi strežnika"
"API/Integration","API/vključevanje"
"API/Integration Settings","API/nastavitve vključevanja"
"Ability for buyer to purchase without PayPal account.","Možnost za kupca, da kupuje brez PayPal računa. "
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Sprejemajte PayPal plačila v nakupovalni košarici. PayPal bo izvedel vaše plačilo s kreditno kartico preko Payflow Pro Gateway."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Sprejemajte plačila, ne da bi stranke zapustile vaše spletne strani. Veliko priljubljenih spletnih storitev in nakupovalnih košaric ima že nameščeno možnost plačila preko Payflow, tako da jih je mžno enostavno vzpostaviti."
"Acceptance Mark","Znak verodostojnosti"
"Acceptance Mark Image","Slika znaka verodostojnosti"
"Account-to-Account Payment, initiated by PayPal","Plačilo iz računa na račun, izvedeno preko Paypala"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Dodaj Express Checkout gumb v vašo obstoječo nakupovalno košarico za hitra in enostavna plačila s kreditno kartico. PayPal rokuje z vsemi plačilnimi postopki."
"Additional Options","Dodatne možnosti"
"Address Verification System Response","Sistem odziva za preverjanje naslova"
"All the address information matched","Vsi podatki naslova se ujemajo"
"Allow in Billing Agreement Wizard","Dovoli v čarovniku za pogodbo o plačevanju"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Dovoljene vrednosti: ""paypal"", ""primarna"" (privzeta), vaša_vrednost-po_meri (po meri narejen stil strani plačil iz vašega profila trgovskega računa)."
"Allowed Credit Card Types","Dovoljeni tipi kreditnih kartic"
"Also affects mini-shopping cart.","Vpliva tudi na mini nakupovalno košarico."
"Api/Integration","Api/ vključevanje"
"Ask Customer","Vprašaj stranko"
"Attempted Authentication, Bad Result","Poskus potrditve, slab rezultat"
"Attempted Authentication, Good Result","Poskus potrditve, dober razultat"
"Auction Payment other than through eBay","Plačila drugih dražb, razen preko eBaya"
"Authenticated, Bad Result","Potrjeno, slab rezultat"
"Authenticated, Good Result","Potrjeno, dober rezultat"
"Authorization","Potrditev"
"Authorization transaction is required to void.","Zahtevana je potrditev transakcije, da ne bi bila razveljavljena."
"Auto","Avtomatsko"
"AutoSweep","Samodejno odnašanje"
"Available Balance","Razpoložljivo stanje"
"Balance Manager Account Bonus","Bonus računa upravitelja stanja"
"Billing Address","naslov za plačevanje"
"Billing Agreement Signup ","Prijava na pogodbo o plačevanju"
"Billing Information","Podatki za plačečvanje"
"Bonus for first ACH Use","Bonus za prvo ACH uporabo"
"Buyer Credit Payment","Kupčeva kreditna plačila"
"By default it is ""reports.paypal.com"".","Privzeto je ""reports.paypal.com""."
"CVV2 Check Result by PayPal","CVV2 preveri rezultate s PayPalom"
"Cannot create target file for reading reports.","Ne morem ustvariti ciljne datoteke za branje poročil."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Api URL po meri"
"Change Payment Method","Zamenjaj način plačila"
"Change Shipping Address","Zamenjaj naslov za dostavo"
"Charge-off","Odpis"
"Chargeback","Povračilo"
"Chargeback by customer.","Povračilo pa strankah."
"Checkout with PayPal","Zaključek nakupa s PayPalom"
"Completion Date","Datum zaključka"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Povezovanje s PayPal SFTP strežnikom za pridobivanje novih poročil. Ali ste prepričani, da želite nadaljevati?"
"Countries Payment Applicable From","Plačila iz te države so dovoljena od"
"Coupon Redemption","Odkup kuponov"
"Credit","Kredit"
"Credit Card Settings","Nastavitve kreditne kartice"
"Currency Conversion required to cover negative balance","Menjava valute zahtevana za pokritje negativnega stanja"
"Custom","Po meri"
"Custom Endpoint Hostname or IP-Address","Končnica gostitelja po meri ali IP naslova po meri"
"Custom Path","Pot po meri"
"Customer complaint.","Pritožba stranke"
"Customer did not include a confirmed address.","Stanka ni vključila potrjenega naslova"
"Customer triggered a money-back guarantee.","Stanka je sprožila garancijo vračila denarja."
"Daily","Dnevno"
"Debit","Debet"
"Debit Card Cash Back","Debetno - gotovinska kartica"
"Debit Card Transaction","Transakcija debetne kartice"
"Debit or Credit","Debet ali kredit"
"Debug Mode","Način za odpravljanje programskih napak"
"Direct Payment API","API neposrednega plačila"
"Discount","Popust"
"Displays on catalog pages and homepage.","Prikazovanje na kataloških cenah in domaći strani"
"Does not work if there are more than 10 shipping options available.","Ne deluje, če je na voljo več kot 10 možnosti dostave."
"Don't have a PayPal account? Simply enter your email address.","Nimate PayPal računa? Enostavno vnesite vaš e-poštni naslov."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Nimate PayPal trgovskega računa? Še vedno lahko sprejemate plačila s kreditnimi karticami preko Payflow Pro Gateway."
"Dynamic","Dinamično"
"EFT Funding (German banking)","EFT nakazilo (nemško bančništvo)"
"Edit Shopping Cart","Uredi nakupovalno košarico"
"Email Associated with PayPal Merchant Account","E-pošta povezana s PayPal trgovskim računom."
"Enable Automatic Fetching","Omogoči samodejno pridobivanje"
"Enable PayPal Guest Checkout","Omogoči PayPal zaključek nakupa za gosta"
"Enabled","Omogočeno"
"Event","Dogodek"
"Event Code","Koda dogodka"
"Every 10 days","Vsakih 10 dni"
"Every 14 days","Vsakih 14 dni"
"Every 3 days","Vsake 3 dni"
"Every 30 days","Vsakih 30 dni"
"Every 40 days","Vsakih 40 dni"
"Every 7 days","Vsakih 7 dni"
"Exact Match. Address and Postal Code. International","Natančno ujemanje. Naslov in poštna številka. Mednarodno"
"Exact Match. Address and Postal Code. UK-specific","Natančno ujemanje. Naslov in poštna številka. Velika Britanija - posebnosti"
"Exact Match. Address and nine-digit ZIP code","Natančno ujemanje. Naslov in devet-številčna poštna številka."
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) nastavitve"
"Express Checkout APIs","Express Checkout API"
"Express Checkout Settings","Express Checkout nastavitve"
"Express Checkout and Order have been canceled.","Express Checkout in naročilo sta bila preklicana."
"Express Checkout has been canceled.","Express Checkout je bil preklican."
"Failed to fetch reports from '%s@%s'.","Poročila ni mogoče pridobiti iz'%s@%s'."
