"Abandoned Carts","Zapuščene košarice"
"Abandoned carts","Zapuščene košarice"
"Action","Aktivnost"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj za primerjavo"
"Add to Wishlist","Dodaj k spisku želja"
"Any","Karkoli"
"Applied Coupon","Uporabljeni kuponi"
"Applies to Any of the Specified Order Statuses","Velja za katerikoli navedeni status naročila"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Ste prepričani, da želite osvežiti doživljenjsko statistiko? Operacija lahko vpliva na uspešnost delovanja."
"Are you sure?","Ali ste prepričani?"
"Avg. Approved Rating","Povprečna odobrena ocena"
"Avg. Rating","Povprečna ocena"
"Bestsellers","Najbolje prodajano"
"Bought from wishlists","Kupljeno s seznama želja"
"CSV","CSV"
"Carts","Košarice"
"Compared Products Grid Template","Predloga mreže primerjanih izdelkov"
"Compared Products List Template","Predloga seznama novih izdelkov"
"Coupons","Kuponi"
"Coupons Usage Report","Poročilo uporabe kuponov"
"Created At","Ustvarjeno"
"Current Month Starts","Trenutni mesec se začna na"
"Customer","Stranka"
"Customer Name","Ime stranke"
"Customer Tags","Značke stranke"
"Customers","Stranke"
"Customers Report","Strankina poročila"
"Customers Reviews","Mnenja strank"
"Customers Tags","Strankine značke"
"Customers by Number of Orders","Stranke po številu naročil"
"Customers by Orders Total","Stranke po znesku naročil"
"Customers by number of orders","Stranke po številu naročil"
"Customers by orders total","Stranke po znesku naročil"
"Customers that have wishlist: %s%","Stranke, ki imajo spisek želja: %s%"
"Dashboard","Nadzorna plošča"
"Day","Dan"
"Default Recently Compared Products Count","Privzeto štetje nedavno primerjanih izdelkov"
"Default Recently Viewed Products Count","Privzeto štetje nedavno ogledanih izdelkov"
"Description","Opis"
"Detail","Podrobnost"
"Downloads","Prenosi"
"Email","E-pošta"
"Empty Rows","Prazne vrstice"
"Excel","Excel"
"Filter","Filter"
"First Name","Ime"
"From","Od"
"Guest","Gost"
"Hits","Zadetkov"
"ID","ID"
"IP Address","IP naslov"
"Index model name must be defined","Indeks imena modela mora biti opredeljen"
"Invalid date specified.","Določen je neveljaven datum."
"Invoiced","Obračunani"
"Items in Cart","Izdelki v košarici"
"Last Name","Priimek"
"Last Review","Zadnje mnenje"
"Link","Povezava"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Spisek izdelkov, ki jih je obiskovalec nedavno primerjal in odstranil iz spiska primerjav."
"List of Products Recently Viewed by Visitor","Spisek izdelkov, ki si jih je obiskovalec nedavno ogledal."
"Low Stock","Nizka zaloga"
"Low stock","Nizka zaloga"
"Match Period To","Primerjajte obdobje do"
"Month","Mesec"
"Most Viewed","Največkrat ogledani"
"Name","Ime"
"New Accounts","Novi računi"
"No","Ne"
"No records found for this period.","Ni zapisov v tem obdobju"
"Number Added","Število dodanih"
"Number Fulfilled","Število izpolnjenih"
"Number Of Reviews","Število mnenj"
"Number Purchased","Število kupljenih"
"Number Viewed","Število ogledanih"
"Number of Items","Število izdelkov"
"Number of New Accounts","Število novih računov"
"Number of Products to display","Število izdelkov za prikaz"
"Number of Reviews","Število mnenj"
"Number of Times Deleted","Število izbrisov"
"Number of Total Tags","Število skupnih značk"
"Number of Unique Tags","Število edinstvenih značk"
"Number of Views","Število ogledov"
"Number of items bought from a wishlist: %s","Število izdelkov kupljenih iz seznama želja: %s"
"Number of times wishlists have been shared (emailed): %s","Število, kolikokrat je bil seznam želja posredovan po E-pošti: %s"
"Number of wishlist conversions: %s","Število konverzij spiska želja: %s"
"Number of wishlist referrals: %s","Število spisov želja od napotenih strank : %s"
"Number of wishlists: %s","Število spiskov želja: %s"
"Order Status","Status naročila"
"Order Taxes Report Grouped by Tax Rate","Poročilo o naročilih razvrščenih po davčni stopnji"
"Orders","Naročila"
"Out of stock","Ni na zalogi"
"Period","Obdobje"
"Poducts Report","Poročilo o izdelkih"
"Popular Tags","Priljubljene značke"
"Popularity","Priljubljenost"
"Price","Cena"
"Product Name","Ime izdelka"
"Product Reviews","Mnenje o izdelku"
"Product SKU","Šifra izdelka"
"Product Tags","Značke izdelka"
"Products","Izdelki"
"Products Ordered","Naročeni izdelki"
"Products Report","Poročilo o izdelkih"
"Products Reviews","Mnenja o izdelku"
"Products Tags","Značke izdeklov"
"Products in carts","Izdelki v košaricah"
"Purchases","Nakupi"
"Quantity Ordered","Naročena količina"
"Quantity of Items","Količina postavkk"
"Recently Compared","Nedavno primerjano"
"Recently Compared Products","Nedavno primerjani izdelki"
"Recently Viewed","Nedavno ogledani"
"Recently Viewed Products","Nedavno ogledani izdelki"
"Recently Viewed/Compared Products","Nedavno ogledani/primerjani izdelki"
"Refresh Lifetime Statistics","Osveži celotno statistiko"
"Refresh Statistics","Osveži statistiko"
