"ALL","VSE"
"ANY","KARKOLI"
"Add","Dodaj"
"Apply","Uporabi"
"Conditions Combination","Pogoji kombinacije"
"Description: %s","Opis: %s"
"End Date should be greater than Start Date","Končni datum mora biti večji od začetnega datuma"
"Expire at: %s","Poteče ob: %s"
FALSE,"NE DRŽI"
"If %s of these conditions are %s:","Če so %s od teh pogojev je %s:"
"Invalid discount amount.","Neveljavna vrednost popusta."
"MATCHING ALL","SE PRILEGA VSEM"
"MATCHING ANY","SE PRILEGA ČEMURKOLI"
"NOT MATCHING ALL","SE NE PRILEGA VSEM"
"NOT MATCHING ANY","SE NE PRILEGA ČEMURKOLI"
"Name: %s","Ime: %s"
"Open Chooser","Odpri Izbirnik"
"Perform following actions","Izvedi naslednje aktivnosti"
"Please choose a condition to add...","Prosim, izberi pogoj za dodajanje"
"Please choose an action to add...","Prosim, izberi akrivnost za dodajanje"
"Remove","Odstrani"
"Start at: %s","Začni pri: %s"
TRUE,"DRŽI"
"by","od"
"contains","vsebuje"
"does not contain","ne vsebuje"
"equals or greater than","enak ali večji od"
"equals or less than","enak ali manjši od"
"greater than","večji od"
"is","je"
"is not","ni"
"is not one of","ni eden od"
"is one of","je eden od"
"less than","manj od"
"to","do"
