"""%s"" coupon code is not valid.","""%s"" koda kupona ni veljavna."
"%s","%s"
"%s / %s rate:","%s / %s stopnja:"
"%s for %s","%s za %s"
"%s order(s) cannot be canceled","%s naročila ne morejo biti preklicana."
"%s order(s) have been canceled.","%s naročila so preklicana."
"%s order(s) have been put on hold.","%s naročila so zadržana."
"%s order(s) have been released from holding status.","%s naročila so sproščena iz zadržanega stanja."
"%s order(s) were not put on hold.","%s naročila niso zadržana."
"%s order(s) were not released from holding status.","%s naročila niso sproščena iz zadržanega stanja."
"* - Enter custom price excluding tax","* - Vnesite ceno po meri brez DDV"
"* - Enter custom price including tax","* - Vnesite ceno po meri z DDV"
"-- Please Select --","-- Prosimo izberite --"
"-- Please Select Billing Agreement--","-- Prosimo izberite pogodbo o plačevanju--"
"About This Order:","O tem naročilu:"
"About This Profile:","O tem profilu:"
"About Your Invoice","O vašem računu"
"About Your Order","O vašem naročilu"
"About Your Refund","O vašem povračilu denarja"
"About Your Shipment","O vaši pošiljki"
"Accept Payment","Sprejmi plačilo"
"Accept or Deny Payment","Sprejmi ali zavrni plačilo"
"Account Information","Podatki o računu"
"Action","Aktivnost"
"Actions","Aktivnosti"
"Activate","Aktiviraj"
"Active","Aktivno"
"Add","Dodaj"
"Add Gift Messsage","Dodaj sporočilo o darilu"
"Add New Address","Dodaj nov naslov"
"Add Order Comments","Dodaj komentar(je) o naročilu"
"Add Products","Dodaj izdelke"
"Add Selected Product(s) to Option","Dodaj izbrane izdelke v Možnosti"
"Add Selected Product(s) to Order","Dodaj izbrane izdelke v Naročilo"
"Add To Order","Dodaj k naročilu"
"Add Tracking Number","Dodaj številko sledenja"
"Add a gift message for <strong>each gift item</strong>","Dodaj sporočilo o darilu za <strong>vsak izdelek darila</strong>"
"Add a gift message for the <strong>entire order</strong>","Dodaj sporočilo o darilu za <strong>celotno naročilo</strong>"
"Add comment to order","Dodaj komentar k naročilu"
"Add new comment to shipment","Dodaj nov komentar k pošiljki"
"Add new tracking number","Dodaj novo številko sledenja"
"Add to Cart","Dodaj v košarico"
"Address","Naslov"
"Address model is not defined.","Model naslova ni določen."
"Adjustment Fee","Provizija prilagoditve"
"Adjustment Refund","Povračilo prilagoditve"
"Agreement Information","Podatki o pogodbi"
"Allow Reorder","Dovoli ponovno naročilo"
"Amount","Znesek"
"Amount: %s.","Znesek: %s."
"An item option with code %s already exists.","Možnost izdelka s kodo %s že obstaja."
"Append Comments","Dodani komentarji"
"Apply","Uporabi"
"Apply Coupon Code","Uporabi kodo kupona"
"Approved the payment online.","Odobreno plačilo online."
"Are you sure you want to accept this payment?","Ali ste prepričani, da želite sprejeti to plačilo?"
"Are you sure you want to cancel this order?","Ali ste prepričani, da želite preklicati to naročilo?"
"Are you sure you want to deny this payment?","Ali ste prepričani, da želite zavrniti to plačilo?"
"Are you sure you want to do this?","Ali ste prepričani, da želite storiti to?"
"Are you sure you want to send Creditmemo email to customer?","Ste prepričani, da želite poslati E-pošto dobropisa stranki?"
"Are you sure you want to send Invoice email to customer?","Ste prepričani, da želite poslati E-pošto računa stranki?"
"Are you sure you want to send Shipment email to customer?","Ste prepričani, da želite poslati E-pošto pošiljke stranki?"
"Are you sure you want to send order email to customer?","Ste prepričani, da želite poslati E-pošto naročila stanki?"
"Are you sure you want to void the payment?","Ste prepričani, da želite razveljaviti plačilo?"
"Are you sure?","Ste prepričani?"
"Are you sure? This order will be canceled and a new one will be created instead","Ali ste prepričani? To naročilo bo preklicano in namesto tega bo ustvajeno novo naročilo."
"At least a payment ID must be set.","Vsaj ID plačil mora biti nastvaljen."
"Authorization","Potrditev"
"Authorized amount of %s.","Potrjen znesek %s."
"Authorizing amount of %s is pending approval on gateway.","Potrjen znesek %s čaka odobritev na prehodu."
"Back","Nazaj"
"Back to Billing Agreements","Nazaj na pogodbo o plačevnaju."
"Back to My Orders","Nazaj na moja naročila"
"Back to Recurring Profiles","Nazaj na ponavljajoče profile"
"Backordered","Naknadna naročila"
"Bestsellers","Najbolje prodajano"
"Bill to Name","Račun na ime"
"Billing","Zaračunavanje"
"Billing Address","Naslov za plačevanje"
"Billing Agreement","Pogodba o plačevanju"
"Billing Agreement # %s","Pogodba o plačevanju # %s"
"Billing Agreement #%s","Pogodba o plačevanju #%s"
"Billing Agreement View","Pogled na pogodbo o plačevanju"
"Billing Agreements","Pogodbe o plačevanju"
"Buy %s for price %s","Kupi %s za ceno %s"
"CSV","CSV"
"Cancel","Prekliči"
"Cancel invoice","Prekliči račun"
"Cancel order","Prekliči naročilo"
"Canceled","Preklicano"
"Canceled order offline.","Offline preklicano naročilo."
"Canceled order online.","Online preklicano naročilo."
"Cannot add order history.","Ne morem dodati zgodovine naročila."
"Cannot create an empty shipment.","Ne morem ustvariti prazne pošiljke."
"Cannot determine the field name.","Ne morem določiti imena polja."
"Cannot do invoice for order.","Ne morem izdati računa za naročilo."
"Cannot do shipment for order.","Ne morem narediti pošiljke za naročilo."
"Cannot get order instance","Ne morem dobiti instance naročila."
"Cannot get the order instance.","Ne morem dobiti instance naročila."
"Cannot register an existing credit memo.","Ne beležim nobenega obstoječega dobropisa."
"Cannot register existing invoice","Ne beležim nobenega obstoječega računa."
"Cannot register existing shipment","Ne beležim nobene obstoječe pošiljke."
"Capture","Zajem"
"Capture Amount","Zajem zneska"
"Capture Offline","Offline zajem"
"Capture Online","Online zajem"
"Capture invoice","Zajem računa"
"Captured amount of %s online.","Zajem zneska %s online."
"Capturing amount of %s is pending approval on gateway.","Zajeti znesek %s čaka na odobritev na prehodu."
"Carrier","Dostavna služba"
"Carrier/Method","Dostavna služba / Način"
"Change status, add comments","Zamenjaj stanje, dodaj komentarje"
"Checkout Totals Sort Order","Vrstni red seštevkov pri zaključku naročila"
"City","Mesto"
"Click to change shipping method","Klikni za zamenjavo načina dostave"
"Close","Zapri"
"Closed","Zaprto"
"Comma-separated.","Ločeno z vejico."
"Comment","Komentar"
"Comment Text","Besedilo komentarja"
"Comments","Komentarji"
"Comments History","Zgodovina komentarjev"
"Company","Podjetje"
"Complete","Zaključeno"
"Country","Država"
"Coupons","Kuponi"
"Create","Ustvari"
"Create New Customer","Ustvari novo stranko"
"Create New Order","Ustvari novo naročilo"
"Create New Order for %s","Ustvari novo naročilo za %s"
"Create New Order for %s in %s","Ustvari novo naročilo za %s v %s"
"Create New Order for New Customer","Ustvari novo naročilo za novo stranko"
"Create New Order for New Customer in %s","Ustvari novo naročilo za novo stranko v%s"
"Create Shipment","Ustvari pošiljko"
"Create new invoice for order","Ustvari nov račun za naročilo"
"Create new shipment for order","Ustvari novo dostavo za naročilo"
"Create...","Ustvari …"
"Created At","Ustvarjeno ob"
"Created billing agreement #%s.","Ustvarjena pogodba o plačevanju #%s."
"Created:","Ustvarjeno:"
"Credit Memo","Dobropis"
"Credit Memo #","Dobropis #"
"Credit Memo # ","Dobropis # "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Dobropis #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Pošiljatelj E-pošte komentarja dobropisa"
"Credit Memo Comment Email Template","Predloga E-pošte komentarja dobropisa "
"Credit Memo Comment Email Template for Guest","Predloga E-pošte za gosta komentarja dobropisa "
"Credit Memo Comments","Komentarji dobropisa"
"Credit Memo Email Sender","Pošiljatelj E-pošte dobropisa"
"Credit Memo Email Template","Predloga E-pošte dobropisa"
"Credit Memo Email Template for Guest","Predloga E-pošte za gosta dobropisa"
"Credit Memo Update","Posodobitev dobropisa"
"Credit Memo Update for Guest","Posodobitev  dobropisa za gosta"
"Credit Memos","Dobropisi"
"Credit memo has been created automatically","Dobropis je bil samodejno ustvarjen"
"Creditmemo","Dobropis"
"Custom Options","Možnosti po meri"
"Custom Price","Cena po meri"
"Custom Value","Vrednost po meri"
"Customer","Stranka"
"Customer Can Define Start Date","Stranka lahko določi datum začetka"
"Customer Email","E-pošta stranke"
"Customer Group","Skupina stranke"
"Customer Last Name","Priimek stranke"
"Customer My Account Order Creditmemo View","Stranka Moj Račun Naročilo Pregled dobropisa"
"Customer My Account Order History","Stranka Moj Račun Zgodovina naročil"
"Customer My Account Order Invoice View","Stranka Moj Račun Naročilo Pregled računov"
"Customer My Account Order Shipment View","Stranka Moj Račun Naročilo Pregled pošiljk"
"Customer My Account Order View","Stranka Moj Račun Pregled naročil"
"Customer Name","Ime stranke"
"Customer\'s Current Activities","Strankine trenutne aktivnosti"
"Date","Datum"
"Date Shipped","Datum dostave"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Privzet logotip bu uporabljen v PDF in HTML dokumentih.<br />(jpeg, tiff, png)"
"Delete","Odstrani"
"Denied the payment online.","Zavrnjeno online plačilo"
"Deny Payment","Zavrnjeno plačilo"
"Description Message","Sporočilo opisa"
"Discount","Popust"
"Discount (%s)","Popust (%s)"
"Discount Amount","Znesek popusta"
"Display Order ID in Header","Prikaži ID naročila v glavi"
"Edit","Uredi"
"Edit Gift Messsage","Uredi sporočila darila"
"Edit Order","Uredi naročilo"
"Edit Order #%s","Uredi naročilo #%s"
"Email","E-pošta"
"Email Copy of Credit Memo","E-pošta kopije dobropisa"
"Email Copy of Invoice","E-pošta kopije računa"
"Email Copy of Shipment","Kopija E-pošta pošiljke"
"Email Order Confirmation","E-pošta potrditve naročila"
"Enable","Omogoči"
"Enabled","Omogočeno"
"Error to Show in Shopping Cart","Prikaži napako v nakupovalni košarici"
"Excel","Excel"
"Excl. Tax","Brez DDV"
"Expired","Poteklo"
"Failed to cancel the billing agreement.","Pogodbe o plačevanju ni mogoče preklicati."
"Failed to create billing agreement for this order.","Pogodbe o plačevanju za to naročilo ni mogoče ustvariti."
"Failed to finish billing agreement wizard.","Čarovnika pogodbe o plačevanju ni mogoče zaključiti."
"Failed to send the order email.","E-pošte naročila ni mogoče poslati."
"Failed to start billing agreement wizard.","Čarovnika pogodbe o plačevanju ni mogoče začeti."
"Failed to update the payment.","Plačila ni mogoče posodobiti."
"Failed to update the profile.","Profila ni mogoče posodobiti."
"Failed to void the payment.","Plačila ni mogoče razveljaviti."
"Fetch","Pridobi"
"First Name","Ime"
"From","Od"
"From Name","Od imena"
"From:","Od:"
"G.T. (Base)","G.T. (osnovni)"
"G.T. (Purchased)","G.T. (kupljeno)"
"General Information","Splošni podatki"
"Get Payment Update","Pridobi posodobitev plačila"
"Get Update","Posodobi"
"Get shipping methods and rates","Dobi načine dostave in stroške"
"Gift","Darilo"
"Gift Message","Sporočilo o darilu"
"Gift Message for This Order","Sporočilo o darilu za to naročilo"
"Gift Message for the Entire Order","Sporočilo o darilu za celotno naročilo"
"Gift Message for this Order","Sporočilo o darilu za to naročilo"
"Grand Total","Skupaj znesek"
"Grand Total to be Charged","Skupaj znesek za plačilo"
"Guest","Gost"
"Hold","Zadrži"
"Hold action is not available.","Dejanje Zadrži ni na voljo."
"Hold order","Zadrži naročilo"
"ID","ID"
"ID #","ID #"
"If empty, the default description above will be used.","Če je prazno, bo uporabljen privzet gornji opis."
"If empty, the default error above will be used.","Če je prazno, bo uporabljena privzeta gornja napaka. "
"If the invoice was created offline, try creating an offline creditmemo.","Če je bil račun ustvarjen offline, poskusite ustvariti tudi dobropis offline."
"Incl. Tax","Z DDV"
"Information","Podatki"
"Initial Fee","Vstopna provizija"
"Initial Fees","Vstopne provizije"
"Initial period payment","Neveljaven rok plačila"
"Invalid block: %s.","Neveljaven blok: %s."
"Invalid carrier specified.","Navedena je neveljavna dostavna služba."
"Invalid draw line data. Please define ""lines"" array.","Neveljavno črtanje podatkov. Prosimo, določite "" črte"" polja."
"Invalid entity model","Neveljaven model objekta."
"Invalid item option format.","Neveljaven format možnosti izdelka."
"Invalid qty to invoice item ""%s""","Neveljavna količina za obračun izdelka ""%s"""
"Invalid qty to refund item ""%s""","Neveljavna količina za povračilo izdelka ""%s"""
"Invalid qty to ship for item ""%s""","Neveljavna količina za dostavo izdelka ""%s"""
"Invalid renderer model","Neveljaven model prikazovalca"
"Invalid request for adding product to quote.","Neveljavna zahteva za dadajanje izdelka v predračun."
"Invoice","Račun"
"Invoice #","Račun #"
"Invoice # ","Račun #"
"Invoice #%1$s | %2$s | %4$s (%3$s)","Račun #%1$s | %2$s | %4$s (%3$s)"
"Invoice #%s","Račun  #%s"
"Invoice Comment Email Sender","E-pošta pošiljatelja komentarja računa "
"Invoice Comment Email Template","E-pošta pošiljatelja predloge računa "
"Invoice Comment Email Template for Guest","E-pošta pošiljatelja predloge računa za gosta"
"Invoice Comments","Komentarji računa"
"Invoice Date","Datum računa"
"Invoice Email Sender","E-pošta pošiljatelja računa"
"Invoice Email Template","E-pošta predloge računa"
"Invoice Email Template for Guest","E-pošta predloge računa za gosta"
"Invoice Update","Posodobitev računa"
"Invoice Update for Guest","Posodobitev računa za gosta"
"Invoice and Packing Slip Design","Oblikovanje računa in dobavnice"
"Invoice and Ship","Zaračunaj in pošlji"
"Invoice canceling problem.","Težava s preklicem računa."
"Invoice cannot be canceled.","Račun ne more biti preklican."
"Invoice cannot be captured.","Račun ne more biti zajet."
"Invoice cannot be voided.","Račun ne more biti razveljavljen."
"Invoice capturing problem.","Težava z zajemom računa."
"Invoice void problem","Težava z razveljavitvijo računa."
"Invoice will be created without communication with payment gateway.","Račun bo ustvarjen brez komunikacije s plačilnim prehodom."
"Invoiced","Zaračunano"
"Invoices","Računi"
"Is Closed","Je zaprto"
"Item","Izdelek"
"Item Status","Stanje izdelka"
"Item object is not specified.","Objekt izdelka ni določen."
"Item options declaration error.","Napaka deklaracije možnosti izdelka."
"Item ordered qty","Naročena količina izdelka"
"Item qty declaration error.","Napaka deklaracije količine izdelka."
"Items","Izdelki"
"Items Invoiced","Zaračunani izdelki"
"Items Ordered","Naročeni izdelki"
"Items Refunded","Povrnjeni izdelki"
"Items Shipped","Dostavljeni izdelki"
"Items maximum quantity or price do not allow checkout.","Največja količina ali cena izdelkov ne dovoli zaključka nakupa."
"Items options declaration error.","Napaka deklaracije možnosti izdelkov."
"Items to Refund","Izdelki za povračilo"
"Items to Ship","Izdelki za dostavo"
"Key","Ključ"
"Last Name","Priimek"
"Last Ordered Items","Zadnji naročeni izdelki"
"Link to the New Order","Povezava na novo naročilo"
"Link to the Previous Order","Povezava na prejšnje naročilo"
"Logo for HTML Print View","Logotip za HTML pogled na tisk"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logotip samo za HTML dokumente. Če je prazno, bo uporabljen privzeti. <br />(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","Logotip za PDF izpise (200x50)"
"Manage","Urejaj"
"Maximum shipping amount allowed to refund is: %s","Največji znesek dostave za povračilo je: %s"
"Message","Sporočilo"
"Message:","Sporočilo:"
"Minimum Amount","Najmanši znesek"
"Minimum Order Amount","Najmanjši znesek naročila"
"Mixed","Mešano"
"Move to Shopping Cart","Premik v nakupovalno košarico"
"Move to Wishlist","Premik v seznam želja"
"Multi-address Description Message","Sporočilo opisa za pošiljanje na več naslovov"
"Multi-address Error to Show in Shopping Cart","Napaka pošiljanja na več naslovov, ki se pokaže v nakupovalni košarici"
"My Orders","Moja naročila"
"My Orders - Details","Podrobnosti mojih naročil"
"N/A","N/A"
"Name","Ime"
"New","Nov"
"New Billing Agreement","Nova pogodba o plačevanju"
"New Credit Memo","Nov dobropis"
"New Credit Memo for Guest","Nov dobropis za gosta"
"New Invoice","Nov račun"
"New Invoice and Shipment for Order #%s","Nov račun in pošiljka za naročilo #%s"
"New Invoice for Guest","Nov račun za gosta"
"New Invoice for Order #%s","Nov račun za naročilo #%s"
"New Order","Novo naročilo"
"New Order Confirmation Email Sender","E-pošta pošiljatelja za potrditev novega naročila"
"New Order Confirmation Template","Predloga za potrditev novega naročila"
"New Order Confirmation Template for Guest","Predloga za gosta za potrditev novega naročila"
"New Order RSS","RSS novega naročila"
"New Order for Guest","Novo naročilo za gosta"
"New Shipment","Nova pošiljka"
"New Shipment for Guest","Nova pošiljka za gosta"
"New Shipment for Order #%s","Nova pošiljka za naročilo #%s"
"Newsletter Subscription","Prijava na E-novice"
"No","Ne"
"No Items","Ni izdelkov"
"No Items To Refund","Ni izdelkov za povračilo"
"No Payment Methods","Ni načinov plačila"
"No detail for number ""%s""","Ni podrobnosti za številko ""%s"""
"No information available.","Podatkov ni na voljo."
"No items","Ni izdelkov"
"No order(s) were put on hold.","Nobeno naročilo ni na čakanju."
"No order(s) were released from holding status.","Nobeno naročilo ni sproščeno s čakanja."
"No ordered items","Ni naročenih izdelkov"
"No shipping information available","Podatkov o dostavi ni na voljo."
"No valid transaction found for this payment review.","Za ta pregled plačil ne najdem veljavnih transakcij."
"Nominal Items","Nominalni izdelki"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","Nominalne izdelke se lahko kupi le vsakega posebej. Za nadaljevanje prosimo, odstranite druge izdelke iz predračuna."
"Nominal order registered.","Zaznano nominalno naročilo"
"Not Capture","Ni zajeto"
"Not Initialized","Ni začeto"
"Not Notified","Ni obveščena"
"Not enough valid data to save the parent transaction ID.","Za shranjevanje nadrejenega ID transakcije ni dovolj veljavnih podatkov."
"Notification Not Applicable","Obvestilo ni uporabljeno"
"Notified","Obveščena"
"Notify Customer by Email","Obvesti stranko po E-pošti"
"Number","Število"
"Number of Invoiced Orders","Število zaračunanih naročil"
"Number of Orders","Število naročil"
"Number of Refunded Orders","Število povrnjenih naročil"
"Offline Refunded","Povrnjeno offline"
"On Hold","Na čakanju"
"Online Refunded","Povrnjeno online"
"Order","Naročilo"
"Order #","Naročilo #"
"Order # ","Naročilo # "
"Order # %s","Naročilo # %s"
"Order # %s %s | %s","Naročilo # %s %s | %s"
"Order #%s","Naročilo #%s"
"Order #%s - %s","Naročilo #%s - %s"
"Order API","API naročilo"
"Order Comment","Komentar naročila"
"Order Comment Email Sender","E-pošta pošiljatelja komentarja naročila"
"Order Comment Email Template","E-pošta predloge komentarja naročila"
