"Add Recipient","Dodaj prejemnika"
"Allow for Guests","Dovoli za goste"
"Email Address","E-mail naslov"
"Email Address:","E-mail naslov:"
"Email templates","Email predloge"
"Email to a Friend","Pošlji prijatelju"
"Email:","E-mail:"
"Enabled","Enabled"
"Limit Sending By","Omejeno pošiljanje od"
"Link to a friend was sent.","Prijatelju je bila poslana povezava."
"Max Products Sent in 1 Hour","Največ možnih produktov poslanih v 1 uri"
"Max Recipients","Največ prejemnikov"
"Maximum %d email addresses allowed.","Največ dovoljenih %d e-naslovov."
"Message:","Sporočilo:"
"Name","Ime"
"Name:","Ime:"
"Recipient:","Prejemnik:"
"Remove Email","Odstrani e-mail"
"Select email template","Izberi e-mail predlogo"
"Send email","Pošlji e-mail"
"Send product to a friend","Pošlji artikel prijatelju"
"Sender:","Pošiljatelj:"
"Some emails was not sent","Nekateri e-maili niso bili poslani"
"Some problems with data.","Težave z datoteko."
"You cannot email this product to a friend","Tega artikla ni možno preko e-maila poslati prijatelju"
"You cannot send more than %d times in an hour","Ne moreš poslati več kot %d -krat v eni uri"
