" for more information or ","za več informacij ali"
"# of Items (and above)","# izdelkov (in več)"
"# of Items vs. Destination","# izdelkov v primerjavi z destinacijo"
"Allow Shipping to Multiple Addresses","Dovoli dostavo na več naslovov"
"An error occurred while import table rates.","Prišlo je do napake med uvozom tabele stopenj."
"Calculate Handling Fee","Izračunaj strošek obdelave"
"Carrier:","Prevoznik:"
"City","Mesto"
"Close Window","Zapri okno"
"Condition","Pogoj"
"Country","Država"
"Date","Datum"
"Delivered on:","Dostavljeno dne:"
"Delivered to:","Dostavljeno na naslov:"
"Description","Opis"
"Displayed Error Message","Prikaži sporočilo o napaki"
"Enabled","Omogočeno"
"Error:","Napaka:"
"Export","Izvozi"
"Fixed","Enotna"
"Flat Rate","Pavšal"
"Free Shipping","Brezplačna dostava"
"Google Sitemap Section","Oddelek Google zemljevid"
"Handling Fee","Strošek obdelave"
"Import","Uvoz"
"Include Virtual Products in Price Calculation","Upoštevaj virtualne izdelke v izračunu cene"
"Info:","Informacije:"
"Invalid Table Rate code for type %s: %s","Neveljavna koda tabele stopenj za tip  %s: %s"
"Invalid Table Rate code type: %s","Neveljaven tip kode tabele stopenj: %s"
"Invalid Table Rates File Format","Neveljavna oblika zapisa datoteke za tabelo stopenj"
"Local Time","Lokalni čas"
"Location","Lokacija"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Največja količina dovoljena za dostavo na več naslovov"
"Method Name","Ime metode"
"Minimum Order Amount","Najmanjši znesek naročila"
"N/A","N/A"
"None","Noben"
"Options","Možnosti"
"Order Subtotal (and above)","Vmesni seštevek naročila (in več)"
"Origin","Poreklo"
"Per Order","Na naročilo"
"Per Package","Na paket"
"Percent","Odstotek"
"Price","Cena"
"Price vs. Destination","Cena v primerjavi z destinacijo"
"Region/State","Regija/zvezna država"
"Service Type:","Tip storitve:"
"Ship to Applicable Countries","Pošlji v dovoljene države"
"Ship to Specific Countries","Pošlji v določene države"
"Shipment #","Pošiljka"
"Shipment Tracking Popup","Pojavno okno sledenja pošiljki"
"Shipped or billed on:","Poslano ali zaračunano dne:"
"Shipping Methods","Načini dostave"
"Shipping Methods Section","Oddelek z načini dostave"
"Shipping Settings","Nastavitve dostave"
"Shipping Settings Section","Oddelek z nastavitvami dostave"
"Show Method if Not Applicable","Prikaži metodo, če ne pride v poštev"
"Signed by:","Podpisal:"
"Sort Order","Vrstni red"
"Status:","Stanje:"
"Store Pickup","Izbira trgovine"
"Table Rates","Tabela stopenj"
"The shipping module is not available for selected delivery country.","Modul dostave ni na voljo za izbrano državo dostave."
"The shipping module is not available.","Modul dostave ni na voljo."
"There is no tracking available for this shipment.","Sledenje za to pošiljko ni na voljo."
"There is no tracking available.","Sledenje ni na voljo."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ta način dostave trenutno ni na voljo. Če bi radi uporabili ta način dostave, nas kontaktirajte."
"This shipping method is not available, please specify ZIP-code","Ta način dostave ni na voljo, prosim določite poštno številko."
"Title","Naslov"
"Track:","Sled:"
"Tracking Information","Informacija o sledenju"
"Tracking Number:","Sledilna številka:"
"Tracking information is currently not available. Please ","Informacija o sledenju trenutno ni na voljo. Prosimo"
"Tracking information is currently unavailable.","Informacija o sledenju trenutno ni na voljo."
"Type","Tip"
"Weight (and above)","Teža (in več)"
"Weight vs. Destination","Teža v primerjavi z destinacijo"
"Weight:","Teža:"
"ZIP/Postal Code","Poštna številka"
"contact us","kontaktirajte nas"
"email us at ","pošljite elektronsko sporočilo na"
