"# of Uses","# uporab"
"%s tag(s) have been accepted for moderation.","%s značk(a) je bilo sprejeto v pregled."
"<strong>Tag Name:</strong> %s","<strong>Ime značke:</strong> %s"
"Action","Aktivnost"
"Add New Tag","Dodaj novo značko"
"Add Tags","Dodaj značke"
"Add Your Tags:","Dodaj svoje značke:"
"Add to Cart","dodaj v košarico"
"Add to Wishlist","dodaj v seznam želja"
"All Tags","Vse značke"
"Approved","Odobreno"
"Are you sure you want to delete this tag?","Ali ste prepričani, da želite odstraniti to značko?"
"Are you sure you want to do this?","Ali ste prepričani, da želite storiti to?"
"Are you sure?","Ali ste prepričani?"
"Back","Nazaj"
"Back to Tags List","Nazaj na seznam značk"
"Base Popularity","Osnovna priljubljenost"
"Block Information","Blokiraj informacije"
"CSV","CSV"
"Catalog Product View","Pogled na katalog izdelkov"
"Change status","Spremeni stanje"
"Click on a tag to view your corresponding products.","Klikni na značko za ogled ustreznih izdelkov"
"Country","Država"
"Customer My Account My Tags List","Stranka Moj račun Seznam mojih značk"
"Customer My Account Tag View","Stranka Moj račun Pregled značk"
"Customer Since","Stranka od"
"Customers","Stranke"
"Customers Submitted this Tag","Stranke so objavile to značko"
"Customers Tagged '%s'","Stranke so označile '%s'"
"Delete","Odstrani"
"Delete Tag","Odstrani značko"
"Disabled","Onemogočeno"
"Edit Tag '%s'","Uredi značko '%s'"
"Email","E-pošta"
"First Name","Ime"
"General Information","Splošne informacije"
"Grid","Mreža"
"ID","ID"
"Last Name","Priimek"
"List","Seznam"
"Manage Tags","Urejaj značke"
"My Recent Tags","Moje nedavne značke"
"My Tags","Moje značke"
"Name","Ime"
"New Tag","Nova značka"
"No matches found.","Ni zadetkov."
"Other people marked this product with these tags:","Drugi so ta izdelek označili z naslednjimi značkami:"
"Pending","Čakajoče"
"Pending Tags","Čakajoče značke"
"Popular","Priljubljene"
"Popular Tags","Priljubljene značke"
"Price","Cena"
"Product Name","Ime izdelka"
"Product SKU","Šifra izdelka"
"Product Tags","Značke izdelka"
"Products","Izdelki"
"Products Tagged by Administrators","Izdelki, ki so jih  označili administratorji"
"Products Tagged by Customers","Izdelki, ki so jih označile stranke"
"Products Tagged with '%s'","Izdelki, označeni z '%s'"
"Products tagged with '%s'","Izdelki, označeni z '%s'"
"Rebuild Tag aggregation data","Obnovi združevanje podatkov po značkah"
"SKU","Šifra"
"Save Tag","Shrani značko"
"Save and Continue Edit","Shrani in nadaljuj z urejanjem"
"Status","Stanje"
"Store View","Pogled trgovine"
"Tag","Značka"
"Tag ""%s"" has already been added to the product.","Značka ""%s"" je že bila dodana k izdelku."
"Tag ""%s"" has been added to the product.","Značka ""%s"" je dodana k izdelku."
"Tag ""%s"" has been rejected by administrator.","Značko""%s"" je zavrnil administrator."
"Tag Aggregation Data","Združevanje podatkov po značkah"
"Tag Name","Ime značke"
"Tagged Products List","Seznam označenih izdelkov"
"Tags","Značke"
"Tags List (All Available)","Seznam značk (vse, ki so na voljo)"
"Tags List Before","Seznam značk pred"
"Tags:","Značke:"
"Telephone","Telefon"
"The tag has been deleted.","Značka je odstranjena."
"There are no tags available.","Na voljo ni nobenih značk."
"Unable to find any products tagged with '%s' in the current store","V trenutni trgovini ne morem najti nobenega izdelka, označenega z '%s' "
"Unable to remove tag. Please, try again later.","Značke ne morem odstraniti. Prosimo, poskusite kasneje."
"Unable to save tag(s).","Značk(e) ne morem shraniti."
"Use spaces to separate tags. Use single quotes (') for phrases.","Uporabite presledke za ločevanje značk. Uporabite enojne narekovaje (') za fraze."
"View All Tags","Prikaži vse značke"
"View Customers","Prikaži stranke"
"View Products","Prikaži izdelke"
"XML","XML"
"You have not tagged any products yet.","Noben izdelek še ni bil označen."
"ZIP/Post Code","Poštna številka"
