"All Websites","Vse spletne strani"
"Apply Discounts To FPT","Uporabi popuste za FPT"
"Apply Tax To FPT","Uporabi davek za FPT"
"Display Prices In Emails","Prikaži cene v E-pošti"
"Display Prices In Product Lists","Prikaži cene v spisku izdelkov"
"Display Prices In Sales Modules","Prikaži cene v prodajnem modulu"
"Display Prices On Product View Page","Prikaži cene na strani izdelka"
"Enable FPT","Omogoči FPT"
"Excluding FPT","Brez  FPT"
"Excluding FPT, FPT description, final price","Brez FPT, opis FPT, končna cena"
"Fixed Product Tax","Enotna davčna stopnja izdelka"
"Fixed Product Taxes","enotne davčne stopnje izdelka"
"Include FPT In Subtotal","Vključi FPT v vmesni seštevek"
"Including FPT and FPT description","Vključen FPT in FPT opis"
"Including FPT and FPT description [incl. FPT VAT]","Vključen FPT in FPT opis [incl. FPT VAT]"
"Including FPT only","Vljučen samo FPT"
"Total","Skupak"
"Total Incl. Tax","Skupaj z DDV"
"Total incl. tax","Skupaj z DDV"
