"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Vse kreditne kartice / Visa, Mastercard, AMEX, JCB, Diners (podprto s strani Moneybookers) - mednarodno"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (podprto s strani Moneybookers) - Italija"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (podprto s strani Moneybookers) - Francija"
"Customer ID","ID stranke"
"Dankort (powered by Moneybookers) - Denmark","Dankort (podprto s strani Moneybookers) - Danska"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (podprto s strani Moneybookers) - Avstrija"
"Enabled","Omogočeno"
"Giropay (powered by Moneybookers) - Germany","Giropay (podprto s strani Moneybookers) - Nemčija"
"Laser (powered by Moneybookers) - Ireland","Laser (podprto s strani Moneybookers) - Irska"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (podprto s strani Moneybookers) - Nemčija"
"Loading secure payment page (SSL)","Nalagam varno stran za plačila (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","Moneybookers URL informacije"
"Moneybookers Settings","Moneybookers nastavitve"
"Moneybookers Transaction ID: %s","Moneybookers  ID transakcije %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Več informacij o Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (podprto s strani Moneybookers) - Finska"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (podprto s strani Moneybookers) - Švedska"
"Order ID","ID naročila"
"POLi (powered by Moneybookers) - Australia","POLi (podprto s strani Moneybookers) - Avstralija"
"Payment failed.","Plačilo ni uspelo"
"Payment from Applicable Countries","Plačila iz dovoljenih držav"
"Payment from Specific Countries","Plačila iz določenih držav"
"Payment has not been processed yet.","Plačilo še ni bilo obdelano"
"Payment was canceled.","Plačilo je bilo preklicano"
"Pending bank transfer created.","Ustvarjeno je bilo čakajoče bančno nakazilo"
"Please pay your order now","Prosimo, plačajte vaše naročilo"
"Postepay (powered by Moneybookers) - Italy","Postepay (podprto s strani Moneybookers) - Italija"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (podprto s strani Moneybookers) - Poljska"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (podprto s strani Moneybookers) - Nemčija"
"Sort Order","Vrstni red"
"The amount has been authorized and captured by Moneybookers.","Znesek je avtoriziran in rezerviran pri Moneybookers."
"The customer was redirected to Moneybookers.","Stranka je bila preusmerjena na Moneybookers."
"The order has been canceled.","Naročilo je preklicano"
"Title","Naslov"
"You will be redirected to our secure payment page when you place an order.","Ko bo naročilo oddano, boste preusmerjeni na našo varno stran za plačila."
"eNETS (powered by Moneybookers) - Singapore","eNETS (podprto s strani Moneybookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (podprto s strani Moneybookers) - Nizozemska"
