"Already registered? Please log in here.","Že registrirani? Prijavite se tu"
"Sorry, no quotes are available for this order at this time.","Žal trenutno ni možno pridobiti potrebnih podatkov za to naročilo."
"Please enter a valid value for Shipping method to complete this order.","Za zaključek naročila prosim vpišite veljavno vrednost pri možnostih pošiljanja."
"Incl. Tax.","Z DDV."
"Email Address","E-mail naslov"
"Street Address","Ulica"
"Country","Država"
"City","Mesto"
"Zip/Postal Code","Poštna številka"
"Telephone","Telefon"
"Fax","Faks"
"Create an account","Ustvari nov račun"
"Password","Geslo"
"Confirm Password","Potrdite geslo"
"Sign Up for Newsletter","Prijava na e-novice"
"Ship to different address","Naslov za pošiljanje je drugačen od primarnega naslova za dostavo"
"One Step Checkout","Hiter zaključek naročila"
"Login and password are required","Uporabniško ime in geslo sta obvezni"
"Coupon code '%s' is not valid","Koda kupona '%s' je neveljavna"
"Can not apply coupon code.","Kupona ni možno uveljaviti."
"Cannot update shopping cart.","Košarice ni moč posodobiti."
"Unable to set Payment Method.","Plačilne metode ni možno nastaviti."
"Please agree to all Terms and Conditions before placing the order.","Pred potrditvijo naročila izberite, da se strinjate s pogoji poslovanja."
"There was an error processing your order. Please contact us or try again later.","Med procesiranjem naročila je prišlo do napake. Prosim ponovno poiskusite pozneje ali pa nas kontaktirajte."
"Product Name","Naziv izdelka"
"Price","Cena"
"Qty","Količina"
"Subtotal","Vsota"
"Update Shopping Cart","Posodobite košarico"
"Order confirmation email sent","Potrditveno sporočilo uspešno poslano"
"Order confirmation email not sent","Potrditveno sporočilo ni bilo uspešno poslano"
"Do you have any gift items in your order?","Vsebuje vaše naročilo darila?"
"Check this checkbox if you want to add gift messages.","Označite, če želite dodati posebno darilno sporočilo za celotno naročilo."
"Enter a gift message for entire order.","Vpišite darilno sporočilo za celotno naročilo."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Polje lahko ostane prazno, če ne želite dodati darilnega sporočila za celotno naročilo."
"From","Od"
"To","Za"
"Message","Sporočilo"
"Enter a gift message for each item in your order.","Dodajte različno darilno sporočilo za vsak posamezen artikel."
"Gift Messages","Darilno sporočilo"
"Check this checkbox if you want to add gift messages to your items.","Označite, če želite poslati posebno darilno sporočilo na posemezen artikel."
"Enter a gift message for this address.","Dodajte posebno darilno sporočilo za izbran naslov dostave."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Polje lahko ostane prazno, če ne želite dodati posebnih darilnih sporočil za izbran naslov."
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Polje lahko ostane prazno, če ne želite dodati posebnih darilnih sporočil za izbran artikel."
"Item %d of %d'","%d. produkt/ov od %d"
"Close","Zapri"
"Login","Prijava"
"Please log in below:","Vpišite svoje podatke za prijavo spodaj:"
"Required Fields","Obvezna polja"
"Forgot your password?","Ste pozabili geslo?"
"Already registered? Please log in below.","Ste že registrirani? Vpišite se."
"Card Verification Number Visual Reference","Koda za preverjanje veljavnosti kreditne kartice."
"Discount Code","Koda za popust"
"Remove","Odstrani"
"Apply coupon","Uveljavi kupon"
"Forgot an Item?","Ste pozabili kupiti kakšen artikel?"
"Edit Your Cart","Uredi košarico."
"Place Order","Oddaj naročilo"
"Submitting order information…","Potrjevanje naročila..."
"Select a shipping address from your address book or enter a new address.","Iz imenika izberite naslov za dostavo oziroma dodajte novega."
"Company","Podjetje"
"Address","Naslov"
"State/Province","Regija"
"Please select region, state or province","Izberite regijo"
"Save in address book","Shrani v imenik"
"Use Billing Address","Izberite naslov za plačevanje"
